w Int P
1450 0.238151235127971 18.43
1450.3519 0.249501707007558 18.43
1450.7039 0.249644865974038 18.43
1451.0557 0.225782262043699 18.43
1451.4076 0.234800777986465 18.43
1451.7595 0.25404886564366 18.43
1452.1115 0.240923683144763 18.43
1452.4634 0.228090345359301 18.43
1452.8153 0.246207669083405 18.43
1453.1671 0.229732259725522 18.43
1453.519 0.214389303039207 18.43
1453.871 0.219640588860037 18.43
1454.2229 0.217847494019563 18.43
1454.5748 0.235396442104365 18.43
1454.9266 0.239777835706625 18.43
1455.2786 0.255515419871048 18.43
1455.6305 0.241055980452391 18.43
1455.9824 0.228169485785274 18.43
1456.3344 0.220876400002579 18.43
1456.6862 0.236101605560432 18.43
1457.0381 0.225633154112124 18.43
1457.39 0.22239964211026 18.43
1457.7419 0.226321929128866 18.43
1458.0939 0.227875952333361 18.43
1458.4458 0.242253027370766 18.43
1458.7976 0.240589428067263 18.43
1459.1495 0.223482315377131 18.43
1459.5015 0.233106359205728 18.43
1459.8534 0.246020986720682 18.43
1460.2053 0.221271986991187 18.43
1460.5571 0.221057440443567 18.43
1460.9091 0.238251906969547 18.43
1461.261 0.23518765261974 18.43
1461.6129 0.224818529698308 18.43
1461.9648 0.215913773320327 18.43
1462.3168 0.197547475811892 18.43
1462.6686 0.216555263659668 18.43
1463.0205 0.223647581465512 18.43
1463.3724 0.199202976846781 18.43
1463.7244 0.227217881652593 18.43
1464.0763 0.237006232059073 18.43
1464.4281 0.197733505707475 18.43
1464.78 0.222585825527523 18.43
1465.132 0.221533204129488 18.43
1465.4839 0.238965897922207 18.43
1465.8358 0.257127781313894 18.43
1466.1876 0.209267819798709 18.43
1466.5396 0.223902580975778 18.43
1466.8915 0.243494710717563 18.43
1467.2434 0.246473837295881 18.43
1467.5953 0.208501516333632 18.43
1467.9473 0.207984800739606 18.43
1468.2991 0.237369387592808 18.43
1468.651 0.244076903308054 18.43
1469.0029 0.250164076295362 18.43
1469.3549 0.233153490361448 18.43
1469.7068 0.222538732752223 18.43
1470.0586 0.225071993991776 18.43
1470.4105 0.216983243722729 18.43
1470.7625 0.225633192492544 18.43
1471.1144 0.212222613190767 18.43
1471.4663 0.211712729311495 18.43
1471.8182 0.18084347267268 18.43
1472.17 0.217862308861671 18.43
1472.522 0.216061768219723 18.43
1472.8739 0.207017153591379 18.43
1473.2258 0.208887086032628 18.43
1473.5778 0.212202002905244 18.43
1473.9296 0.244973162875142 18.43
1474.2815 0.2337821232601 18.43
1474.6334 0.23227077908261 18.43
1474.9854 0.230744888725951 18.43
1475.3373 0.220300501800963 18.43
1475.6891 0.244620139772278 18.43
1476.041 0.236581437570869 18.43
1476.3929 0.222799067140864 18.43
1476.7449 0.24491536196267 18.43
1477.0968 0.247991437481827 18.43
1477.4487 0.228098136584554 18.43
1477.8005 0.229735483680799 18.43
1478.1525 0.216263687609173 18.43
1478.5044 0.20755114037439 18.43
1478.8563 0.20907518847089 18.43
1479.2083 0.21312336326699 18.43
1479.5601 0.228017691224302 18.43
1479.912 0.231745581415771 18.43
1480.2639 0.226782686070579 18.43
1480.6158 0.227588060803182 18.43
1480.9678 0.224669306625474 18.43
1481.3197 0.199874212011598 18.43
1481.6715 0.203845664348182 18.43
1482.0234 0.23786637565097 18.43
1482.3754 0.237674281649032 18.43
1482.7273 0.232232628945162 18.43
1483.0792 0.225607823034946 18.43
1483.431 0.229606563850127 18.43
1483.783 0.226854380695079 18.43
1484.1349 0.256219048110317 18.43
1484.4868 0.218366665960467 18.43
1484.8387 0.240808503504439 18.43
1485.1906 0.235909127754294 18.43
