w Int P
1450 0 9.78
1450.3519 0 9.78
1450.7039 0.00032440166763183 9.78
1451.0557 0.00207955089266265 9.78
1451.4076 0 9.78
1451.7595 0.00371478113631349 9.78
1452.1115 0.00321899572019936 9.78
1452.4634 0 9.78
1452.8153 0.00145726450827768 9.78
1453.1671 0.00629752269258581 9.78
1453.519 0.00184089064726266 9.78
1453.871 0.00455501705680746 9.78
1454.2229 0.00342108399629075 9.78
1454.5748 0.0021905767739363 9.78
1454.9266 0.0048174202546922 9.78
1455.2786 0.00254826172168747 9.78
1455.6305 0.0035605541678657 9.78
1455.9824 0.00254361426162852 9.78
1456.3344 0.00479978110689273 9.78
1456.6862 0.00329407292866622 9.78
1457.0381 0.00245710666673738 9.78
1457.39 0.00429932978347149 9.78
1457.7419 0.0051786912159585 9.78
1458.0939 0.00470880581617094 9.78
1458.4458 0.0047928606510544 9.78
1458.7976 0.0040633762636451 9.78
1459.1495 0.0024693023759958 9.78
1459.5015 0.00372147859353338 9.78
1459.8534 0.0047866958523954 9.78
1460.2053 0.00512876053904186 9.78
1460.5571 0.00663067654420694 9.78
1460.9091 0.00536425028933114 9.78
1461.261 0.00465761309288258 9.78
1461.6129 0.00577999722956717 9.78
1461.9648 0.00149589807209444 9.78
1462.3168 0 9.78
1462.6686 0.00412310625411772 9.78
1463.0205 0.00207725528288977 9.78
1463.3724 0.00418394315829026 9.78
1463.7244 0.00334174780445568 9.78
1464.0763 0.00507546938398738 9.78
1464.4281 0.00111730255577833 9.78
1464.78 0.00207417580279262 9.78
1465.132 0.00353317939955855 9.78
1465.4839 0.00467274313993908 9.78
1465.8358 0.00329112469856886 9.78
1466.1877 0.0025757625245538 9.78
1466.5396 0.00639223059933508 9.78
1466.8915 0.00574637602474988 9.78
1467.2434 0.00412854368098198 9.78
1467.5953 0.00320176394863076 9.78
1467.9473 0.00180777025013038 9.78
1468.2991 0.0034890426234942 9.78
1468.651 0.00463063010137213 9.78
1469.0029 0.00158694311068569 9.78
1469.3549 0.00205195801312555 9.78
1469.7068 0.00523300216555553 9.78
1470.0586 0.00442521826332008 9.78
1470.4105 0.00565777014717076 9.78
1470.7625 0.00387557281790819 9.78
1471.1144 0.00554284093665081 9.78
1471.4663 0.00280658413457998 9.78
1471.8182 0.00479388261707082 9.78
1472.17 0.00515578563002065 9.78
1472.522 0.000979341903024483 9.78
1472.8739 0.00352780314920526 9.78
1473.2258 0.00334180956259319 9.78
1473.5778 0.00262976165677118 9.78
1473.9296 0.00393782866637506 9.78
1474.2815 0.00333166677468294 9.78
1474.6334 0.00589071557793573 9.78
1474.9854 0.00645091471261352 9.78
1475.3373 0.00325459306622822 9.78
1475.6892 0.00290801442660611 9.78
1476.041 0.00350001009199582 9.78
1476.3929 0.00627983345965103 9.78
1476.7449 0.00491316763032339 9.78
1477.0968 0.0028775298617952 9.78
1477.4487 0.0017917699818119 9.78
1477.8005 0.00310254086779736 9.78
1478.1525 0.00240714246534223 9.78
1478.5044 0.00222657887036695 9.78
1478.8563 0.00340536827729501 9.78
1479.2083 0.00202093358796273 9.78
1479.5601 0.00193342788353037 9.78
1479.912 0.0049059825959812 9.78
1480.2639 0.00501517855130865 9.78
1480.6158 0.00314961812833783 9.78
1480.9678 0.00401940647560969 9.78
1481.3197 0.00471542144180105 9.78
1481.6715 0.00553403864210994 9.78
1482.0234 0.00758371901828199 9.78
1482.3754 0.00529185859686351 9.78
1482.7273 0.00318996010445076 9.78
1483.0792 0.00461210209220141 9.78
1483.431 0.00343885010097854 9.78
1483.783 0.0066954867140338 9.78
1484.1349 0.00399943038246987 9.78
1484.4868 0.00374229834569747 9.78
1484.8387 0.0054527191454171 9.78
1485.1907 0.00372582248183431 9.78
1485.5425 0.00339709356872636 9.78
1485.8944 0.00362389239411775 9.78
1486.2463 0.00520946045098056 9.78
1486.5983 0.00695454862418717 9.78
1486.9502 0.00735130062809169 9.78
1487.302 0.00392088265599193 9.78
1487.6539 0.00717213678560953 9.78
1488.0059 0.00598140639179278 9.78
1488.3578 0.00497632914522221 9.78
1488.7097 0.00570351559923976 9.78
1489.0615 0.00387602003888349 9.78
1489.4135 0.00477926677148319 9.78
1489.7654 0.00875313047415271 9.78
1490.1173 0.00692693285744995 9.78
1490.4692 0.0041497861797907 9.78
1490.8212 0.00643737499525978 9.78
1491.173 0.00717882701066333 9.78
1491.5249 0.00621249173513953 9.78
1491.8768 0.00549277444837824 9.78
1492.2288 0.00354633747787772 9.78
1492.5807 0.00514973184516859 9.78
1492.9325 0.00641336929180306 9.78
1493.2844 0.006913018710605 9.78
1493.6364 0.00451632609228607 9.78
1493.9883 0.0051135133574484 9.78
1494.3402 0.00610943436002144 9.78
1494.6921 0.00797943390372084 9.78
1495.0439 0.00381233656453964 9.78
1495.3959 0.00328089425768408 9.78
1495.7478 0.00738109329478361 9.78
1496.0997 0.00768477561268145 9.78
1496.4517 0.00597855739506565 9.78
1496.8035 0.00325051347428329 9.78
1497.1554 0.00538479052562128 9.78
1497.5073 0.00120971566656386 9.78
1497.8593 0.00450283144527733 9.78
1498.2112 0.00154939906984797 9.78
1498.5631 0.00522595683110726 9.78
1498.9149 0.00616759577368009 9.78
1499.2668 0.00762093334137001 9.78
1499.6188 0.00541222221509414 9.78
1499.9707 0.00445981032768202 9.78
1500.3226 0.00527147114306071 9.78
1500.6744 0.00607531617158228 9.78
1501.0264 0.00812749539058214 9.78
1501.3783 0.00566601099124861 9.78
1501.7302 0.00573087931177727 9.78
1502.0822 0.00658228537678112 9.78
1502.434 0.00626452764131472 9.78
1502.7859 0.00764498656698527 9.78
1503.1378 0.00754337467976103 9.78
1503.4897 0.00589884827471794 9.78
1503.8417 0.00774073855821672 9.78
1504.1936 0.00897392610320442 9.78
1504.5454 0.00689701601573071 9.78
1504.8973 0.00843568599465473 9.78
1505.2493 0.00861885653255323 9.78
1505.6012 0.0081397990696697 9.78
1505.9531 0.00662039783368504 9.78
1506.3049 0.00710161240348689 9.78
1506.6569 0.00845472004389864 9.78
1507.0088 0.00739980548159544 9.78
1507.3607 0.00578926934160708 9.78
1507.7126 0.00363373253931597 9.78
1508.0646 0.00653645045173895 9.78
1508.4164 0.00657745207839128 9.78
1508.7683 0.00845822079663041 9.78
1509.1202 0.00941438425292902 9.78
1509.4722 0.00875175297748075 9.78
1509.8241 0.00452920553624995 9.78
1510.1759 0.00891214337652617 9.78
1510.5278 0.0055832539513851 9.78
1510.8798 0.00938181484922876 9.78
1511.2317 0.0104734408443298 9.78
1511.5836 0.00947286511642331 9.78
1511.9354 0.00889250520179602 9.78
1512.2874 0.00903041963192305 9.78
1512.6393 0.00972920519111678 9.78
1512.9912 0.00972363743924291 9.78
1513.3431 0.00673752503906162 9.78
1513.6951 0.00891426418908262 9.78
1514.0469 0.0125020066261233 9.78
