 ,Area,StdDev,X,Y,Perim.
1,8177.769,121.421,485.145,176.363,334.105
2,9433.278,124.919,552.574,421.864,369.056
3,14149.916,126.455,907.114,82.537,455.434
4,5123.831,111.982,781.287,193.600,264.788
5,9433.278,105.095,762.260,447.889,360.818
6,16118.010,117.556,521.046,927.668,468.498
7,8008.106,117.198,781.635,653.703,327.866
8,9501.143,120.315,906.002,1081.880,360.818
9,8381.365,112.517,869.637,1270.324,345.755
10,10010.133,113.109,162.661,1767.427,372.468
11,8551.029,118.120,384.854,1610.684,345.755
12,8958.220,118.615,5585.614,3571.339,352.580
13,8211.702,122.617,5804.762,3539.419,340.344
14,8584.961,121.028,5260.742,3745.575,340.929
15,12249.688,125.718,5832.282,2995.422,410.246
16,9636.873,116.983,5532.110,3024.352,365.644
17,8652.827,114.523,4794.267,3870.668,344.342
18,11672.833,123.820,3473.429,3635.400,408.833
19,11129.910,121.363,3879.530,3534.886,395.769
20,7770.578,115.750,1341.609,3713.879,329.279
21,8313.500,104.482,1848.304,3812.529,340.929
22,10247.661,112.713,302.157,3587.343,372.468
23,9161.816,115.347,337.213,3896.351,365.644
24,8042.039,113.455,4944.799,401.286,332.691
25,16423.404,122.176,4385.971,1005.167,481.562
26,9636.873,116.585,4486.266,115.909,364.230
27,11265.641,118.452,2808.892,118.205,395.769
28,11062.045,123.590,5570.457,753.895,400.595
29,11333.506,120.568,3698.236,1524.452,402.008
30,11231.708,120.021,2951.964,1973.018,393.770
31,10960.247,126.096,2542.725,2044.068,397.182
32,15710.818,125.570,2712.839,3290.550,466.499
33,9535.076,123.094,2002.502,2726.834,370.469
34,11604.967,121.876,1392.608,2732.892,397.182
35,9399.345,113.034,1713.306,2700.305,360.818
36,11537.102,114.590,895.672,2948.652,405.420
37,9942.267,111.474,1223.456,2715.654,378.707
38,8279.567,101.576,2302.830,3350.812,337.517
39,7600.914,120.206,2968.082,3607.031,329.279
40,9602.941,122.907,3117.960,3198.504,360.818
41,7872.376,110.657,3320.525,3306.037,329.279
42,12317.553,118.234,3001.080,2304.466,412.245
43,12249.688,121.025,2524.051,89.645,408.833
44,8584.961,119.203,2205.381,201.130,353.993
45,8551.029,116.367,5253.221,72.514,347.754
46,8143.837,113.001,5576.609,105.727,337.517
47,9976.200,124.044,5600.410,314.242,377.294
48,8075.971,112.737,5037.013,723.937,329.279
49,8075.971,108.394,4215.909,606.014,337.517
50,10044.065,116.363,3756.411,1004.626,365.644
51,12792.610,114.460,3820.518,1824.168,426.722
52,10315.527,112.018,3427.310,2335.684,375.880
53,10383.392,123.918,3046.261,2851.137,382.120
54,8788.557,118.449,2369.620,3615.982,350.581
55,7668.780,119.075,2714.248,3565.290,324.453
56,10824.516,126.423,4012.258,3297.715,388.944
57,10824.516,126.423,4012.258,3297.715,388.944
58,9772.604,106.785,1669.276,3508.514,365.644
59,10553.055,121.062,2977.591,1627.818,377.294
60,6820.463,113.969,4302.413,1943.246,301.153
61,8856.422,125.474,3791.151,418.107,352.580
62,11265.641,118.139,2047.794,545.303,397.182
63,7668.780,112.856,1334.687,956.102,324.453
64,9806.537,113.392,1600.220,1276.368,372.468
65,9093.951,111.704,794.049,1518.414,362.231
66,8177.769,122.417,552.171,1769.536,332.691
67,9467.210,125.577,920.806,2382.131,364.230
68,7261.588,117.025,1010.994,2258.017,321.041
69,8958.220,122.039,1070.376,2506.281,349.167
70,10824.516,123.302,474.076,2568.491,390.943
71,6718.665,117.487,1123.435,3760.532,301.153
72,9399.345,124.595,84.086,3357.624,365.644
73,7702.712,109.501,2467.500,1058.911,327.866
74,11910.361,126.808,2821.168,1087.042,405.420
75,12317.553,124.771,3253.745,194.822,423.310
76,11808.563,121.137,5026.640,1637.728,408.833
77,9840.469,126.840,5341.424,1212.299,377.294
78,10281.594,122.077,5870.824,1505.115,382.120
79,10485.190,123.241,5329.516,2595.982,380.706
80,9060.018,105.999,4962.732,173.413,352.580
81,8381.365,124.061,5445.701,678.963,337.517
82,9365.412,125.263,5490.395,1016.050,365.644
83,8992.153,118.492,5222.444,1358.398,352.580
84,8618.894,123.630,3795.583,3032.645,340.929
85,12215.755,117.924,1473.348,2059.927,408.833
86,9331.480,124.113,1649.975,2955.323,360.818
87,9060.018,112.876,1996.955,3208.984,360.818
88,7295.520,114.645,3113.068,1861.143,316.215
89,8211.702,116.346,2645.905,548.842,340.929
90,7329.453,123.103,2536.108,1238.578,314.216
91,7465.184,100.448,3261.674,1402.066,330.693
92,13708.792,120.868,4471.124,688.726,436.959
93,8890.355,97.202,968.491,3253.182,345.755
94,9501.143,119.649,572.698,3141.329,357.406
95,8177.769,118.307,807.753,1745.341,336.104
