 ,Area,X,Y
1,0.016,0.312,0.495
2,0.010,0.692,0.407
3,0.012,0.904,0.281
4,0.016,0.312,0.495
5,0.011,0.594,2.886
6,0.008,1.328,3.083
7,0.014,0.990,2.978
8,0.013,1.259,0.212
9,0.012,1.629,0.191
10,0.012,0.768,0.662
11,0.012,0.994,0.554
12,0.010,3.168,0.171
13,0.013,2.183,0.769
14,0.012,1.629,0.875
15,0.011,2.054,0.519
16,0.011,3.739,0.511
17,0.013,4.603,0.569
18,0.012,4.520,1.143
19,0.011,4.340,0.942
20,0.012,3.933,0.795
21,0.013,4.319,1.659
22,0.008,4.564,1.953
23,0.013,4.637,2.240
24,0.014,4.532,2.875
25,0.010,4.144,2.974
26,0.015,3.932,1.942
27,0.010,3.406,1.987
28,0.010,3.472,1.853
29,0.009,3.091,2.113
30,0.013,2.103,2.295
31,0.013,2.321,3.122
32,0.009,2.694,1.340
33,0.011,2.437,1.440
34,0.008,2.161,1.702
35,0.012,1.467,1.739
36,0.011,1.090,2.190
37,0.010,2.391,2.322
38,0.011,2.371,2.085
39,0.008,1.813,1.461
40,0.010,1.663,2.072
41,0.009,0.904,2.406
42,0.010,1.263,2.733
43,0.007,2.827,0.404
44,0.009,3.091,0.489
45,0.006,3.697,0.250
46,0.008,3.760,0.693
47,0.008,3.610,0.870
48,0.009,3.021,1.317
49,0.010,2.722,1.541
50,0.011,2.791,0.895
51,0.013,7.003,3.549
52,0.014,7.466,4.720
53,0.012,7.184,4.659
54,0.009,6.749,4.698
55,0.009,6.899,4.603
56,0.012,5.508,4.756
57,0.012,5.035,3.697
58,0.012,3.021,4.343
59,0.010,3.405,4.271
60,0.011,3.603,4.667
61,0.010,4.377,2.033
62,0.006,4.038,2.299
63,0.005,4.086,2.474
64,0.012,3.702,2.606
65,0.009,6.032,2.052
66,0.012,6.265,1.964
67,0.014,6.987,2.218
68,0.011,5.529,3.250
69,0.008,5.649,3.073
70,0.010,5.275,4.323
71,0.007,4.598,3.330
72,0.013,5.416,2.260
73,0.016,4.846,2.480
74,0.011,6.932,2.723
75,0.010,5.906,3.239
76,0.012,4.168,3.307
77,0.010,4.372,4.103
78,0.008,4.111,4.114
79,0.010,3.246,4.453
80,0.012,3.266,3.514
81,0.012,5.256,2.150
82,0.009,5.023,1.884
83,0.014,0.160,4.820
84,0.008,1.210,4.519
85,0.010,1.450,4.580
86,0.011,1.192,4.805
87,0.013,2.749,4.509
88,0.014,2.642,4.138
89,0.011,2.463,3.397
90,0.009,1.607,3.798
91,0.012,1.256,3.328
92,0.012,0.740,3.227
93,0.008,1.210,3.565
94,0.009,1.790,3.109
95,0.010,1.887,3.787
96,0.013,2.834,3.057
97,0.008,1.594,3.626
98,0.007,1.348,3.772
99,0.011,2.411,4.842
100,0.012,2.811,4.802
