 ,Area,X,Y
1,2190.758,66.981,244.739
2,2103.128,137.925,237.951
3,3505.213,457.341,198.646
4,4235.466,80.505,464.318
5,3096.272,166.855,557.547
6,2964.826,368.056,521.750
7,4001.785,821.949,122.432
8,2585.095,691.536,338.713
9,2628.910,681.316,531.805
10,3724.289,929.839,531.637
11,2585.095,1005.884,558.771
12,2935.616,689.258,784.133
13,3534.423,437.564,895.768
14,3943.365,644.558,1027.205
15,4206.256,788.429,1013.920
16,4118.626,1082.450,1132.660
17,4615.197,1320.068,1097.940
18,2585.095,1535.172,1036.824
19,3315.347,1660.021,1032.007
20,3286.137,1581.970,948.476
21,3329.953,1684.747,393.999
22,3417.583,1539.801,247.509
23,3286.137,1599.227,85.172
24,3227.717,1296.674,821.699
25,3052.456,1611.651,458.114
26,2176.153,876.506,375.305
27,4279.281,2414.889,619.037
28,3052.456,3682.202,85.841
29,3227.717,3726.988,247.448
30,3183.902,3374.470,279.998
31,3315.347,3475.611,330.119
32,3476.003,3465.343,672.997
33,3709.684,3381.338,837.138
34,3169.297,3619.839,1023.332
35,3811.919,3150.428,1080.116
36,3928.760,3048.893,677.761
37,4133.231,2882.278,623.193
38,3519.818,2900.803,878.783
39,3140.087,2696.232,995.755
40,3300.742,2473.271,902.486
41,3461.398,2580.868,666.863
42,3476.003,2762.672,204.828
43,3329.953,3048.072,396.681
44,3110.877,2622.239,508.630
45,2731.145,2323.679,885.245
46,2585.095,171.532,2571.186
47,2921.011,402.153,2151.306
48,4016.390,649.536,1881.679
49,2760.355,504.206,1776.433
50,3695.079,1005.224,1786.685
51,2906.406,1312.873,1933.576
52,3169.297,1707.778,2159.385
53,3987.180,1012.116,2207.594
54,3110.877,866.000,1753.037
55,2891.801,1393.380,1469.967
56,3519.818,1214.311,1836.147
57,3256.927,1649.490,2237.254
58,2979.431,1700.412,1897.040
59,2439.044,1571.605,1713.006
60,3490.608,768.369,1840.335
61,3183.902,3693.718,2403.173
62,2468.254,3591.509,2344.088
63,3344.558,3154.393,2423.773
64,3300.742,2610.174,2481.912
65,2701.935,2613.197,2548.807
66,4250.071,2334.815,2461.455
67,3344.558,2232.506,1882.933
68,3037.851,2718.649,1792.026
69,3461.398,3148.408,1487.374
70,2804.171,3190.764,1858.300
71,3110.877,3404.961,1800.458
72,3957.970,2952.314,2106.882
73,3110.877,2378.227,1616.677
74,3198.507,2864.349,2121.028
75,3023.246,2832.429,2364.451
76,3461.398,1671.281,1345.811
77,3169.297,1625.745,1454.105
78,3534.423,1795.689,1358.867
79,2862.591,2485.246,1385.370
80,2044.708,2111.001,1545.805
81,4337.701,1697.053,852.159
82,2292.994,1178.421,1186.819
83,2760.355,1648.660,1230.361
84,3110.877,1373.796,1294.169
85,3198.507,1871.905,1241.157
