 ,Label,Area,X,Y
1,,0.005,0.264,0.405
2,,0.005,0.569,0.480
3,,0.005,0.473,0.544
4,,0.004,0.446,0.681
5,,0.007,0.349,0.642
6,,0.007,1.263,0.587
7,,0.003,1.289,0.689
8,,0.002,1.313,0.776
9,,0.005,1.388,0.573
10,,0.006,1.430,0.742
11,,0.005,1.849,0.702
12,,0.006,2.112,0.588
13,,0.005,2.303,0.783
14,,0.005,2.261,0.996
15,,0.005,2.200,1.359
16,,0.006,1.898,1.393
17,,0.006,1.243,1.135
18,,0.005,1.061,1.434
19,,0.007,0.854,1.394
20,,0.006,0.424,1.434
21,,0.004,0.480,1.298
22,,0.004,1.464,0.140
23,,0.005,2.053,0.226
24,,0.006,6.993,1.447
25,,0.007,6.279,0.896
26,,0.006,5.767,1.055
27,,0.004,5.443,1.243
28,,0.004,5.407,1.348
29,,0.004,5.250,1.550
30,,0.004,5.113,1.240
31,,0.004,5.192,0.873
32,,0.005,5.657,0.424
33,,0.006,6.156,0.716
34,,0.005,6.023,0.748
35,,0.005,6.717,0.468
36,,0.004,6.545,0.753
37,,0.004,6.683,0.826
38,,0.005,6.618,0.941
39,,0.004,7.073,1.238
40,,0.005,6.965,0.225
41,,0.003,7.314,1.562
42,,0.004,7.270,0.144
43,,0.003,5.656,0.258
44,,0.003,5.604,0.558
45,,0.004,6.086,0.290
46,,0.003,6.055,0.928
47,,0.004,5.045,1.182
48,,0.004,7.123,4.534
49,,0.004,7.021,4.494
50,,0.004,5.551,4.701
51,,0.004,5.278,4.037
52,,0.004,5.222,3.669
53,,0.004,5.554,3.641
54,,0.005,5.761,3.351
55,,0.004,6.625,3.331
56,,0.005,7.217,4.033
57,,0.005,6.662,4.232
58,,0.003,6.256,4.521
59,,0.005,6.049,4.650
60,,0.003,6.075,3.920
61,,0.004,6.291,3.559
62,,0.003,5.488,4.309
63,,0.003,5.217,4.431
64,,0.004,5.303,4.474
65,,0.005,5.064,3.780
66,,0.004,5.302,4.759
67,,0.004,5.136,4.613
68,,0.004,2.167,4.535
69,,0.004,2.141,4.377
70,,0.004,2.260,3.453
71,,0.005,2.140,3.442
72,,0.003,1.736,3.445
73,,0.004,1.551,3.282
74,,0.004,1.326,3.483
75,,0.005,0.995,3.608
76,,0.004,0.925,3.664
77,,0.004,0.821,3.623
78,,0.003,0.520,3.380
79,,0.004,0.298,3.452
80,,0.005,0.256,3.874
81,,0.004,0.185,4.057
82,,0.004,0.088,4.380
83,,0.003,0.509,4.747
84,,0.007,0.977,4.484
85,,0.006,0.766,4.572
86,,0.003,0.856,4.371
87,,0.003,0.854,4.491
88,,0.004,0.883,4.261
89,,0.007,1.071,4.080
90,,0.006,1.176,3.977
91,,0.004,1.184,3.868
92,,0.004,1.390,3.612
93,,0.004,3.395,2.457
94,,0.004,3.308,2.841
95,,0.005,4.205,2.687
96,,0.005,4.541,2.263
97,,0.004,4.500,1.813
98,,0.003,2.867,1.996
99,,0.004,3.059,2.208
100,,0.004,2.626,2.251
101,,0.005,3.138,2.401
102,,0.005,3.505,2.100
103,,0.003,3.999,1.709
104,,0.004,4.093,1.635
105,,0.004,4.187,2.252
106,,0.004,3.922,2.290
107,,0.004,3.633,2.398
108,,0.003,3.661,2.326
109,,0.004,2.554,2.139
110,,0.005,3.155,1.960
