file	x	y	area	sample	number	diameter	T	sub_thick	sub_age	time
ML15_01_um.csv	0.236	0.043	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	0.108	0.147	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	0.216	0.222	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	0.108	0.266	0.002	ML15	01	0.0504626504404032	750	5	old	20
ML15_01_um.csv	0.241	0.336	0.002	ML15	01	0.0504626504404032	750	5	old	20
ML15_01_um.csv	0.232	0.497	0.001	ML15	01	0.0356824823230554	750	5	old	20
ML15_01_um.csv	0.232	0.496	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	0.342	0.605	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	0.112	0.815	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	0.296	0.77	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	0.226	0.79	0.002	ML15	01	0.0504626504404032	750	5	old	20
ML15_01_um.csv	0.208	0.947	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	0.058	0.946	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	0.14	1.163	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	0.874	0.231	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	1.071	0.879	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	0.937	0.926	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	0.648	0.973	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	0.389	1.607	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	0.394	1.843	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	0.691	2.209	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	0.759	2.074	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	1.878	1.522	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	1.986	1.535	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	1.715	1.523	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	1.92	1.321	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	1.89	1.205	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	1.584	1.753	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	2.196	1.573	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	2.337	1.258	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	2.768	0.898	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	2.612	0.71	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	3.094	0.682	0.004	ML15	01	0.0713649646461108	750	5	old	20
ML15_01_um.csv	3.044	0.47	0.002	ML15	01	0.0504626504404032	750	5	old	20
ML15_01_um.csv	1.41	0.416	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	1.473	0.821	0.002	ML15	01	0.0504626504404032	750	5	old	20
ML15_01_um.csv	1.894	0.968	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	2.046	1.282	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	2.25	0.973	0.005	ML15	01	0.0797884560802865	750	5	old	20
ML15_01_um.csv	1.488	1.838	0.003	ML15	01	0.0618038723237103	750	5	old	20
ML15_01_um.csv	1.362	2.03	0.006	ML15	01	0.0874038744473663	750	5	old	20
ML15_01_um.csv	1.439	1.929	0.001	ML15	01	0.0356824823230554	750	5	old	20
