level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
1,1,2010,Asia-Pacific,Afghanistan, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,2,2010,Europe,Albania, 100,1.00,18.0,1.00,1.00,1.00,80.3,1.00, 1.4
1,3,2010,Middle East-North Africa,Algeria, 100,1.00,1.00,1.00,1.00,1.00,97.9,1.00, 1.8
1,4,2010,Asia-Pacific,American Samoa, 100,1.00,98.3,1.00,1.00,1.00,1.00,1.00,1.00
1,5,2010,Europe,Andorra, 100,1.00,89.5,1.00,1.00,1.00,1.00,1.00, 8.8
1,6,2010,Sub-Saharan Africa,Angola, 100,1.00,90.5, 4.2,1.00,1.00,1.00,1.00, 5.1
1,7,2010,Latin America-Caribbean,Anguilla, 100,1.00,90.6, 2.9,1.00,1.00,1.00, 1.6, 4.0
1,8,2010,Latin America-Caribbean,Antigua and Barbuda, 100,1.00,93.0, 3.6,1.00,1.00,1.00,1.00, 1.7
1,9,2010,Latin America-Caribbean,Argentina, 100,1.00,85.2,1.00,1.00,1.00, 1.0,1.00,12.2
1,10,2010,Asia-Pacific,Armenia, 100,1.00,98.5,1.00,1.00,1.00,1.00,1.00, 1.3
1,11,2010,Latin America-Caribbean,Aruba, 100,1.00,91.9, 1.3,1.00,1.00,1.00,1.00, 6.0
1,12,2010,Asia-Pacific,Australia, 100, 2.7,67.3,1.00, 1.4,1.00, 2.4,1.00,24.2
1,13,2010,Europe,Austria, 100,1.00,80.4,1.00,1.00,1.00, 5.4,1.00,13.5
1,14,2010,Asia-Pacific,Azerbaijan, 100,1.00, 3.0,1.00,1.00,1.00,96.9,1.00,1.00
1,15,2010,Latin America-Caribbean,Bahamas, 100,1.00,96.0,1.00,1.00,1.00,1.00,1.00, 3.1
1,16,2010,Middle East-North Africa,Bahrain, 100, 2.5,14.5,1.00, 9.8,1.00,70.3,1.00, 1.9
1,17,2010,Asia-Pacific,Bangladesh, 100,1.00,1.00,1.00, 8.5,1.00,90.4,1.00,1.00
1,18,2010,Latin America-Caribbean,Barbados, 100,1.00,95.2,1.00,1.00,1.00,1.00, 1.4, 1.9
1,19,2010,Europe,Belarus, 100,1.00,71.2,1.00,1.00,1.00,1.00,1.00,28.6
1,20,2010,Europe,Belgium, 100,1.00,64.2,1.00,1.00,1.00, 5.9,1.00,29.0
1,21,2010,Latin America-Caribbean,Belize, 100,1.00,87.6, 1.5,1.00, 1.0,1.00,1.00, 8.9
1,22,2010,Sub-Saharan Africa,Benin, 100,1.00,53.0,18.1,1.00,1.00,23.8,1.00, 5.0
1,23,2010,North America,Bermuda, 100,1.00,75.0, 3.0,1.00,1.00, 1.1,1.00,19.4
1,24,2010,Asia-Pacific,Bhutan, 100,74.7,1.00, 1.9,22.6,1.00,1.00,1.00,1.00
1,25,2010,Latin America-Caribbean,Bolivia, 100,1.00,93.9,1.00,1.00,1.00,1.00, 1.0, 4.1
1,26,2010,Europe,Bosnia-Herzegovina, 100,1.00,52.3,1.00,1.00,1.00,45.2,1.00, 2.5
1,27,2010,Sub-Saharan Africa,Botswana, 100,1.00,72.1, 6.0,1.00,1.00,1.00,1.00,20.6
1,28,2010,Latin America-Caribbean,Brazil, 100,1.00,88.9, 2.8,1.00,1.00,1.00,1.00, 7.9
1,29,2010,Latin America-Caribbean,British Virgin Islands, 100,1.00,84.5, 8.4, 1.2,1.00, 1.2,1.00, 3.9
1,30,2010,Asia-Pacific,Brunei, 100, 8.6, 9.4, 6.2,1.00,1.00,75.1,1.00,1.00
1,31,2010,Europe,Bulgaria, 100,1.00,82.1,1.00,1.00,1.00,13.7,1.00, 4.2
1,32,2010,Sub-Saharan Africa,Burkina Faso, 100,1.00,22.5,15.4,1.00,1.00,61.6,1.00,1.00
1,33,2010,Sub-Saharan Africa,Burundi, 100,1.00,91.5, 5.7,1.00,1.00, 2.8,1.00,1.00
1,34,2010,Asia-Pacific,Cambodia, 100,96.9,1.00,1.00,1.00,1.00, 2.0,1.00,1.00
1,35,2010,Sub-Saharan Africa,Cameroon, 100,1.00,70.3, 3.3,1.00,1.00,18.3, 2.7, 5.3
1,36,2010,North America,Canada, 100,1.00,69.0, 1.2, 1.4, 1.0, 2.1,1.00,23.7
1,37,2010,Sub-Saharan Africa,Cape Verde, 100,1.00,89.1, 1.5,1.00,1.00,1.00,1.00, 9.1
1,38,2010,Latin America-Caribbean,Cayman Islands, 100,1.00,83.5, 4.5,1.00,1.00,1.00,1.00, 9.4
1,39,2010,Sub-Saharan Africa,Central African Republic, 100,1.00,89.5, 1.0,1.00,1.00, 8.5,1.00, 1.0
1,40,2010,Sub-Saharan Africa,Chad, 100,1.00,40.6, 1.4,1.00,1.00,55.3,1.00, 2.5
1,41,2010,Europe,Channel Islands, 100,1.00,85.2,1.00,1.00,1.00,1.00,1.00,14.2
1,42,2010,Latin America-Caribbean,Chile, 100,1.00,89.4, 1.5,1.00,1.00,1.00,1.00, 8.6
1,43,2010,Asia-Pacific,China, 100,18.2, 5.1,21.9,1.00,1.00, 1.8,1.00,52.2
1,44,2010,Latin America-Caribbean,Colombia, 100,1.00,92.5,1.00,1.00,1.00,1.00,1.00, 6.6
1,45,2010,Sub-Saharan Africa,Comoros, 100,1.00,1.00,1.00,1.00,1.00,98.3,1.00,1.00
1,46,2010,Sub-Saharan Africa,Republic of the Congo, 100,1.00,85.9, 2.8,1.00,1.00, 1.2, 1.1, 9.0
1,47,2010,Sub-Saharan Africa,Democratic Republic of the Congo, 100,1.00,95.8,1.00,1.00,1.00, 1.5,1.00, 1.8
1,48,2010,Asia-Pacific,Cook Islands, 100,1.00,96.0,1.00,1.00,1.00,1.00,1.00, 3.2
1,49,2010,Latin America-Caribbean,Costa Rica, 100,1.00,90.9,1.00,1.00,1.00,1.00,1.00, 7.9
1,50,2010,Sub-Saharan Africa,Ivory Coast, 100,1.00,44.1,10.2,1.00,1.00,37.5,1.00, 8.0
