 ,Area,StdDev,X,Y,Perim.
1,0.004,121.256,0.081,0.054,0.249
2,0.006,125.222,0.132,0.203,0.307
3,0.003,111.487,0.215,0.308,0.206
4,0.003,121.490,0.295,0.396,0.201
5,0.003,117.169,0.230,0.463,0.226
6,0.002,126.734,0.052,0.513,0.181
7,0.005,126.011,0.048,0.635,0.269
8,0.004,119.717,1.103,1.079,0.248
9,0.002,119.757,1.490,1.205,0.172
10,0.005,126.474,1.268,1.130,0.270
11,0.004,126.643,1.364,1.277,0.245
12,0.003,125.866,1.782,1.057,0.211
13,0.004,126.719,1.570,1.056,0.228
14,0.004,122.593,1.686,1.012,0.232
15,0.004,127.631,1.792,0.878,0.237
16,0.002,121.820,1.911,1.347,0.163
17,0.004,123.082,1.607,1.538,0.242
18,0.004,122.188,1.470,2.235,0.230
19,0.004,124.740,0.902,2.288,0.233
20,0.003,121.023,0.745,2.401,0.201
21,0.003,125.019,0.812,2.514,0.212
22,0.002,116.619,0.930,2.130,0.175
23,0.003,119.185,0.789,2.191,0.201
24,0.004,122.672,1.891,1.547,0.242
25,0.005,119.560,1.567,1.280,0.261
26,0.003,119.919,2.071,0.774,0.215
27,0.001,116.877,3.789,2.490,0.144
28,0.003,111.684,3.877,2.509,0.204
29,0.002,123.644,3.910,2.420,0.179
30,0.003,125.175,3.593,2.524,0.188
31,0.004,126.795,3.523,2.324,0.249
32,0.004,122.805,3.776,2.212,0.239
33,0.003,121.783,3.743,2.089,0.198
34,0.003,122.712,3.770,1.957,0.193
35,0.003,122.673,3.948,1.977,0.206
36,0.005,124.613,3.669,1.640,0.255
37,0.004,126.122,3.425,1.516,0.248
38,0.003,117.182,3.495,1.129,0.202
39,0.004,123.042,3.695,0.682,0.239
40,0.005,118.410,3.654,0.257,0.258
41,0.003,124.650,3.110,0.775,0.212
42,0.003,122.917,3.007,0.914,0.204
43,0.004,122.849,2.196,0.795,0.241
44,0.004,116.911,1.974,0.847,0.230
45,0.005,127.016,2.131,1.176,0.276
46,0.003,118.675,1.306,1.406,0.208
47,0.003,108.930,1.175,1.405,0.205
48,0.004,121.805,0.997,1.509,0.237
49,0.002,118.699,0.992,1.597,0.166
50,0.002,115.932,0.869,2.140,0.186
51,0.003,126.202,1.041,2.190,0.196
52,0.006,125.413,1.134,2.279,0.292
53,0.004,121.978,1.357,2.414,0.239
54,0.003,125.068,1.191,2.402,0.221
55,0.003,118.199,1.463,2.532,0.216
56,0.006,123.741,1.983,1.218,0.308
57,0.006,127.402,1.673,1.436,0.287
58,0.004,110.500,1.306,2.069,0.219
59,0.004,114.218,1.314,2.214,0.223
60,0.005,124.920,1.260,1.883,0.260
61,0.007,123.811,1.119,1.240,0.323
62,0.004,122.721,1.792,1.385,0.242
63,0.002,127.672,1.623,1.846,0.160
64,0.006,124.369,1.152,2.071,0.299
65,0.003,125.188,1.402,2.111,0.216
66,0.003,121.888,0.993,2.092,0.191
67,0.002,114.614,1.012,1.987,0.175
68,0.003,118.235,1.081,1.934,0.201
69,0.003,121.170,0.685,2.059,0.195
70,0.006,126.746,0.804,1.961,0.304
71,0.004,126.535,0.472,2.330,0.229
72,0.005,126.651,1.846,2.013,0.267
73,0.003,125.401,2.213,1.858,0.206
74,0.003,124.695,2.309,1.865,0.212
75,0.004,125.203,2.283,2.050,0.226
76,0.003,125.163,2.270,2.410,0.232
77,0.002,117.819,2.783,2.378,0.174
78,0.002,123.644,2.687,2.428,0.180
79,0.005,122.717,2.941,1.834,0.256
80,0.004,125.863,2.864,1.684,0.242
81,0.003,127.270,2.800,1.578,0.183
82,0.005,121.343,3.043,1.088,0.289
83,0.004,119.587,2.673,1.260,0.237
84,0.003,123.993,2.498,1.592,0.212
85,0.002,116.643,3.030,1.493,0.177
86,0.004,124.670,2.950,1.456,0.220
87,0.002,117.344,3.371,1.002,0.175
88,0.002,123.118,3.446,1.032,0.179
89,0.003,127.555,3.767,1.201,0.204
90,0.002,124.093,3.869,0.799,0.167
91,0.003,113.242,3.747,0.794,0.201
92,0.005,127.683,3.856,0.475,0.265
93,0.006,127.647,3.524,0.152,0.283
94,0.002,113.332,2.932,0.373,0.176
95,0.003,126.330,3.033,0.642,0.202
96,0.002,120.201,2.923,1.144,0.169
97,0.003,120.204,2.819,0.789,0.195
98,0.004,123.866,2.492,0.871,0.220
99,0.002,111.194,2.202,0.926,0.156
100,0.005,127.580,2.458,1.141,0.271
101,0.001,0,2.433,1.352,0.295
102,0.003,120.204,2.511,1.400,0.193
103,0.004,124.098,3.127,0.109,0.241
104,0.003,110.095,2.411,2.004,0.193
105,0.002,121.705,2.017,2.159,0.185
106,0.003,118.951,1.862,2.392,0.209
107,0.003,120.759,1.941,2.324,0.188
108,0.003,110.670,2.114,2.465,0.218
109,0.002,124.824,3.515,2.632,0.183
110,0.002,126.014,3.611,2.365,0.181
