 ,Area,X,Y
1,0.032,0.323,0.329
2,0.013,0.702,0.370
3,0.014,0.788,0.611
4,0.014,1.088,0.717
5,0.012,0.949,0.687
6,0.016,0.574,1.331
7,0.019,0.967,1.380
8,0.013,1.760,0.382
9,0.015,2.014,0.867
10,0.012,2.273,0.872
11,0.015,3.066,0.290
12,0.015,2.721,0.648
13,0.018,4.520,3.013
14,0.015,4.350,3.135
15,0.018,4.082,2.601
16,0.017,3.827,2.777
17,0.022,2.925,2.921
18,0.019,2.905,2.500
19,0.021,3.217,2.519
20,0.016,3.466,2.463
21,0.015,2.160,2.959
22,0.015,2.727,3.157
23,0.013,2.658,2.584
24,0.009,1.919,2.594
25,0.015,0.446,1.962
26,0.025,0.791,2.132
27,0.015,1.563,0.271
28,0.017,3.471,0.196
29,0.013,3.466,1.475
30,0.025,2.205,2.094
31,0.014,1.409,2.475
32,0.012,2.140,2.542
33,0.019,2.612,2.314
34,0.018,3.262,0.746
35,0.014,3.563,0.398
36,0.012,0.727,1.054
37,0.019,4.341,1.553
38,0.011,6.354,2.049
39,0.016,6.240,2.234
40,0.014,6.786,2.165
41,0.012,6.981,2.114
42,0.010,7.239,1.801
43,0.026,6.987,1.784
44,0.016,5.893,2.095
45,0.010,5.894,1.841
46,0.024,6.835,0.395
47,0.017,7.039,0.633
48,0.016,6.526,0.618
49,0.013,6.577,0.438
50,0.013,6.487,0.928
51,0.011,6.147,0.878
52,0.012,5.668,1.421
53,0.011,5.102,1.208
54,0.012,4.976,1.595
55,0.017,4.576,1.885
56,0.015,4.730,0.554
57,0.019,4.839,0.932
58,0.016,6.005,4.665
59,0.016,6.460,4.974
60,0.017,7.037,4.307
61,0.021,6.653,4.322
62,0.016,6.380,4.284
63,0.017,6.532,4.041
64,0.010,6.725,3.777
65,0.016,6.824,3.595
66,0.018,6.571,3.581
67,0.011,5.098,4.270
68,0.012,4.873,4.305
69,0.014,4.492,3.545
70,0.017,4.291,3.438
71,0.015,4.586,4.454
72,0.010,5.056,3.778
73,0.008,5.536,3.634
74,0.012,5.109,4.994
75,0.017,0.382,3.818
76,0.013,2.892,4.474
77,0.015,3.234,3.661
78,0.011,1.923,3.239
79,0.012,3.299,2.975
80,0.011,3.142,3.114
81,0.020,1.862,3.841
82,0.013,1.325,4.613
83,0.010,0.564,3.974
84,0.018,0.453,3.273
85,0.013,1.883,3.495
86,0.015,2.108,3.433
87,0.011,1.630,4.183
88,0.016,1.412,4.158
89,0.008,2.919,3.111
90,0.012,3.172,3.925
