 ,Area,X,Y
1,2384.080,89.317,262.715
2,1709.636,210.537,310.709
3,2619.351,207.470,403.640
4,1442.996,486.741,534.912
5,2446.819,489.871,624.042
6,3152.632,564.061,512.044
7,2180.178,586.837,225.814
8,2227.233,733.398,246.660
9,2776.198,787.772,702.299
10,1584.158,885.933,682.894
11,2054.701,432.363,1113.763
12,2368.395,1499.010,166.717
13,2368.395,1583.096,405.495
14,2258.602,1695.572,1030.006
15,3387.903,1624.092,1066.758
16,2258.602,1126.375,834.846
17,1929.223,1004.282,732.689
18,2242.917,1052.094,1102.749
19,2713.459,1172.106,1265.324
20,2039.016,1772.064,1265.560
21,2164.494,1029.330,76.912
22,2384.080,3708.051,879.416
23,2133.124,3863.832,95.428
24,1929.223,2850.600,1027.723
25,2870.307,3896.694,1154.953
26,2305.656,3102.916,189.196
27,2054.701,3062.006,692.631
28,2540.927,2508.226,1159.223
29,1976.277,3574.635,482.320
30,1631.213,2982.711,783.587
31,1741.006,2568.567,124.645
32,1599.843,2212.619,908.911
33,1991.962,2641.163,1186.606
34,2054.701,2604.988,1297.604
35,2274.287,2321.789,506.098
36,2509.558,2900.173,821.931
37,2274.287,2296.470,1633.855
38,2164.494,3503.171,2540.996
39,2101.755,3280.390,2534.653
40,2211.548,2995.674,2537.308
41,2587.982,3011.257,2011.773
42,1772.375,2087.181,2458.127
43,2744.829,2870.167,2256.124
44,2007.646,2256.343,1944.616
45,2164.494,2637.423,1739.016
46,2431.134,2795.286,1839.681
47,2384.080,3173.059,1978.817
48,2854.622,3050.158,2338.244
49,1929.223,2307.414,1418.836
50,2384.080,2387.598,1422.955
51,2995.785,3607.869,1795.915
52,2509.558,278.985,2612.822
53,2478.188,1663.843,2629.126
54,2289.972,1707.636,1464.560
55,1490.050,181.866,1641.459
56,2384.080,97.499,1638.953
57,2305.656,417.445,1816.650
58,2431.134,417.387,1913.574
59,2007.646,563.861,2090.470
60,2211.548,752.237,2122.730
61,2493.873,711.215,2441.385
62,2431.134,977.950,2219.598
63,2964.415,996.396,1613.715
64,2195.863,1567.044,2263.338
65,2337.026,836.215,2567.387
66,2289.972,1147.484,1929.201
67,2493.873,433.340,2267.850
68,2650.721,1195.489,1599.426
69,2321.341,831.041,1931.201
70,1850.799,914.885,1968.887
71,2086.070,1503.447,2109.506
72,1568.474,259.802,1877.545
73,2870.307,307.602,1693.307
74,2337.026,712.831,1737.006
75,2023.331,1158.017,1362.944
76,2478.188,2326.983,1543.076
77,2321.341,2024.993,1804.014
78,1960.592,1461.244,1550.083
79,1819.429,1186.070,619.836
80,2086.070,1278.061,599.256
81,2540.927,1758.905,590.515
82,2289.972,2599.485,806.890
83,2744.829,2829.703,952.204
84,1976.277,2422.599,1037.844
85,2666.405,2014.281,1166.080
86,3246.741,1729.363,1379.528
87,2211.548,1632.371,1610.182
88,1741.006,1868.112,1601.552
89,2321.341,2192.079,1741.263
90,2086.070,2021.633,685.223
91,1960.592,1406.178,915.057
92,1976.277,1531.385,840.201
93,2823.253,2925.479,1365.259
94,1709.636,2458.588,1414.824
95,1599.843,2761.483,1552.708
96,3074.208,3100.546,1641.180
97,2148.809,3529.421,769.227
98,2258.602,2086.166,750.165
99,1662.582,2570.260,1160.882
100,3293.795,2094.069,1683.470
