 ,Area
1,57
2,20
3,22
4,43
5,37
6,45
7,48
8,23
9,51
10,36
11,20
12,25
13,33
14,58
15,24
16,23
17,26
18,35
19,46
20,26
21,24
22,23
23,33
24,68
25,24
26,31
27,28
28,61
29,26
30,22
31,28
32,55
33,31
34,33
35,57
36,72
37,42
38,45
39,29
40,33
41,21
42,25
43,26
44,27
45,20
46,26
47,37
48,33
49,34
50,40
51,29
52,23
53,30
54,22
55,40
56,22
57,71
58,20
59,24
60,72
61,46
62,26
63,58
64,31
65,23
66,20
67,37
68,21
69,44
70,24
71,67
72,23
73,47
74,22
75,21
76,23
77,31
78,29
79,24
80,44
81,35
82,29
83,33
84,24
85,39
86,21
87,24
88,21
89,23
90,22
91,38
92,23
93,20
94,23
95,28
96,38
97,45
98,27
99,24
100,26
101,30
102,24
103,28
104,20
105,31
106,21
107,22
108,1396
109,39
110,61
111,3933
112,21
113,45
114,27
115,43
116,36
117,25
118,32
119,278
120,26
121,25
122,20
123,30
124,23
125,47
126,44
127,46
128,80
129,27
130,45
131,20
132,37
133,26
134,54
135,23
136,26
137,22
138,20
139,30
140,26
141,60
142,1296
143,35
144,30
145,33
146,23
147,34
148,25
149,20
150,2596
151,25
152,21
153,1861
154,4880
155,20
156,22
157,1623
158,35
159,35
160,6408
161,5878
162,392
163,6430
164,153
165,613
166,45
167,1538
168,20
169,2214
170,59
171,1210
172,2974
173,37
174,1758
175,24
176,5858
177,24
178,36
179,20
180,7227
181,21
182,4088
183,43
184,99
185,21
186,443
187,167
188,2025
189,1610
190,4719
191,29
192,869
193,28
194,20
195,155
196,29
197,3799
198,1442
199,4719
200,35
201,874
202,26
203,21
204,4219
205,904
206,575
207,31
208,29
209,43
210,4354
211,27
212,43
213,21
214,3673
215,2926
216,2347
217,44
218,1086
219,69
220,107
221,32
222,7928
223,7218
224,44
225,31
226,33
227,2306
228,30
229,31
230,21
231,37
232,3158
233,380
234,5567
235,30
236,74
237,25
238,21
239,22
240,59
241,6170
242,24
243,40
244,20
245,24
246,34
247,34
248,53
249,23
250,23
251,405
252,572
253,49
254,24
255,763
256,1196
257,27
258,42
259,21
260,23
261,23
262,1641
263,20
264,21
265,20
266,1843
267,27
268,32
269,21
270,1248
271,22
272,30
273,2398
274,4113
275,31
276,32
277,38
278,26
279,26
280,50
281,627
282,1533
283,43
284,25
285,5154
286,26
287,84
288,28
289,21
290,47
291,29
292,5920
293,21
294,53
295,28
296,22
297,23
298,21
299,3604
300,23
301,21
302,2980
303,61
304,54
305,20
306,24
307,20
308,54
309,22
310,46
311,28
312,23
313,49
