 ,Area
1,444
2,139
3,1724
4,39
5,166
6,1175
7,150
8,175
9,530
10,286
11,128
12,23
13,234
14,673
15,302
16,604
17,29
18,380
19,26
20,146
21,116
22,39
23,218
24,64
25,516
26,827
27,844
28,83
29,278
30,85
31,163
32,489
33,751
34,1067
35,527
36,358
37,705
38,504
39,547
40,336
41,79
42,576
43,87
44,42
45,1261
46,21
47,225
48,123
49,160
50,351
51,34
52,127
53,70
54,917
55,760
56,304
57,1047
58,407
59,77
60,315
61,76
62,133
63,400
64,28
65,337
66,495
67,405
68,421
69,720
70,595
71,352
72,141
73,591
74,996
75,1452
76,432
77,22
78,31
79,93
80,405
81,386
82,443
83,510
84,679
85,1271
86,52
87,174
88,32
89,884
90,689
91,30
92,1056
93,23
94,58
95,269
96,418
97,22
98,684
99,2467
100,401
101,31
102,648
103,755
104,1403
105,607
106,22
107,63
108,61
109,53
110,28
111,74
112,290
113,255
114,158
115,164
116,456
117,34
118,83
119,189
120,23
121,168
122,151
123,55
124,826
125,28
126,122
127,708
128,111
129,94
130,140
131,425
132,125
133,460
134,525
135,88
136,68
137,42
138,76
139,477
140,217
141,547
142,63
143,788
144,587
145,842
146,544
147,307
148,498
149,222
150,55
151,82
152,104
153,190
154,540
155,31
156,1058
157,21
158,32
159,162
160,174
161,475
162,603
163,72
164,370
165,47
166,187
167,385
168,157
169,94
170,723
171,702
172,531
173,51
174,208
175,550
176,742
177,476
178,144
179,26
180,32
181,209
182,28
183,80
184,652
185,71
186,377
187,323
188,50
189,49
190,144
191,537
192,237
193,66
194,525
195,82
196,562
197,423
198,589
199,464
200,31
201,56
202,336
203,25
204,656
205,652
206,616
207,483
208,692
209,103
210,250
211,40
212,371
213,74
214,115
215,57
216,795
217,108
218,711
219,406
220,298
221,32
222,76
223,384
224,42
225,65
226,478
227,1591
228,2260
229,330
230,514
231,51
232,782
233,98
234,33
235,49
236,559
237,715
238,39
239,136
240,73
241,404
242,1644
243,890
244,123
245,41
246,209
247,643
248,62
249,44
250,68
251,77
252,365
253,287
254,365
255,142
256,484
257,421
258,473
259,513
260,22
261,316
262,253
263,90
264,696
265,27
266,755
267,635
268,716
269,76
270,230
271,500
272,66
273,836
274,883
275,299
276,59
277,751
278,44
279,56
280,49
281,37
282,1610
283,349
284,20
285,429
286,62
287,148
288,235
289,174
290,26
291,64
292,235
293,71
294,645
295,841
296,483
297,75
298,35
299,94
300,276
301,597
302,66
303,355
304,608
305,393
306,416
307,23
308,441
309,48
310,147
311,41
312,67
313,599
314,163
315,1096
316,503
317,374
318,190
319,557
320,260
321,697
322,559
323,333
324,1682
325,99
326,83
327,52
328,228
329,72
330,33
331,786
332,68
333,789
334,60
335,69
336,141
337,589
338,237
339,196
340,664
341,42
342,1748
343,42
344,101
345,490
346,109
347,542
348,78
349,506
350,568
351,321
352,58
353,51
354,682
355,152
356,68
357,23
358,542
359,85
360,608
361,308
362,326
363,54
364,139
365,251
366,420
367,70
368,329
369,73
370,99
371,557
372,421
373,1126
374,222
375,466
376,990
377,51
378,169
379,149
380,81
381,595
382,113
383,99
384,28
385,365
386,747
387,640
388,170
389,111
390,812
391,234
392,768
393,33
394,517
395,51
396,242
397,614
398,457
399,22
400,711
401,66
402,662
403,84
404,135
405,110
406,643
407,170
408,94
409,1314
410,288
411,138
412,40
413,139
414,328
415,357
416,461
417,378
418,440
419,185
420,437
421,517
422,177
423,1327
424,84
425,458
426,348
427,380
428,37
429,106
430,702
431,34
432,546
433,153
434,153
435,30
436,466
437,20
438,47
439,349
440,521
441,1009
442,20
443,643
444,420
445,56
446,206
447,430
448,333
449,1030
450,841
451,439
452,131
453,113
454,1188
455,94
456,156
457,448
458,36
459,106
460,81
461,319
462,976
463,21
464,36
465,44
466,302
467,700
468,50
469,57
470,44
471,646
472,867
473,47
474,431
475,96
476,592
477,675
478,29
479,478
480,445
481,65
482,895
483,214
484,274
485,270
486,521
487,22
488,43
489,282
490,1611
491,171
492,416
493,556
494,81
495,37
496,608
497,427
498,222
499,98
500,411
501,343
502,1182
503,126
504,792
505,38
506,82
507,134
508,433
509,949
510,23
511,105
512,447
513,569
514,47
515,199
516,44
517,837
518,284
519,95
520,532
521,59
522,641
523,43
524,108
525,121
526,522
527,537
528,51
529,590
530,172
531,30
532,1010
533,30
534,471
535,215
536,562
537,29
538,632
539,50
540,48
541,473
542,34
543,61
544,61
545,413
546,438
547,56
548,57
549,388
550,60
551,246
552,30
553,61
554,78
555,68
556,31
557,271
558,53
559,251
560,45
561,385
562,146
563,414
564,413
565,759
566,270
567,141
568,426
569,190
570,427
571,79
572,62
573,222
574,162
575,671
576,246
577,154
578,442
579,658
580,336
581,104
582,251
583,488
584,535
585,390
586,857
587,81
588,24
589,215
590,736
591,688
592,765
593,143
594,133
595,364
596,84
597,108
598,353
599,842
600,229
601,174
602,362
603,71
604,22
605,66
606,507
607,484
608,543
609,118
610,28
611,514
612,469
613,22
614,326
615,150
616,35
617,382
618,169
619,29
620,124
621,165
622,616
623,328
624,63
625,60
626,625
627,532
628,433
629,37
630,136
631,790
632,447
633,84
634,214
635,583
636,146
637,477
638,236
639,223
640,26
641,681
642,523
643,558
644,126
645,366
646,154
647,147
648,656
649,767
650,266
651,128
652,897
653,179
654,38
655,71
656,371
657,1209
658,1060
659,86
660,24
661,60
662,74
663,465
664,35
665,75
666,29
667,501
668,159
669,1716
670,126
671,605
672,88
673,93
674,97
675,1235
676,43
677,384
678,654
679,358
680,507
681,88
682,137
683,60
684,37
685,524
686,71
687,82
688,1671
689,336
690,1121
691,24
692,497
693,82
694,20
695,80
696,181
697,365
698,73
699,418
700,40
701,169
702,675
703,1438
704,29
705,63
706,33
707,322
708,70
709,139
710,457
711,126
712,552
713,255
714,81
715,185
716,25
717,189
718,27
719,43
720,104
721,319
722,49
723,271
724,827
725,163
726,134
727,21
728,277
729,27
730,173
731,865
732,338
733,500
734,109
735,377
736,529
737,424
738,604
739,78
740,911
741,168
742,455
743,701
744,59
745,767
746,454
747,580
748,196
749,32
750,203
751,89
752,215
753,30
754,98
755,74
756,505
757,31
758,301
759,387
760,47
761,70
762,30
763,45
764,752
765,1084
766,443
767,810
768,110
769,749
770,22
771,501
772,364
773,867
774,40
775,52
776,1356
777,751
778,95
779,104
780,357
781,373
782,599
783,403
784,813
785,58
786,120
787,158
788,38
789,124
790,24
