 ,Area,StdDev,X,Y,Perim.
1,0.006,121.023,0.221,0.116,0.286
2,0.009,127.668,0.328,0.273,0.351
3,0.007,119.218,0.497,0.423,0.305
4,0.011,120.747,0.189,0.638,0.399
5,0.010,125.896,0.421,1.067,0.372
6,0.007,115.697,0.222,1.410,0.329
7,0.011,127.459,0.634,1.438,0.392
8,0.011,127.459,0.634,1.438,0.392
9,0.009,127.093,0.408,1.576,0.362
10,0.009,124.589,1.677,0.294,0.356
11,0.009,127.433,1.276,1.100,0.364
12,0.013,117.896,0.992,1.300,0.418
13,0.011,124.258,1.072,1.761,0.386
14,0.010,126.855,2.264,0.061,0.357
15,0.012,126.202,2.737,0.587,0.410
16,0.010,121.895,5.005,0.332,0.366
17,0.009,122.232,4.803,0.228,0.341
18,0.008,127.254,4.512,0.365,0.333
19,0.013,126.446,5.020,1.346,0.425
20,0.011,120.783,5.813,0.410,0.372
21,0.007,121.569,5.424,0.355,0.311
22,0.007,119.633,5.340,0.211,0.321
23,0.011,126.058,5.239,0.441,0.389
24,0.013,119.461,5.423,0.847,0.414
25,0.011,117.975,4.735,1.581,0.389
26,0.016,127.263,3.433,1.504,0.470
27,0.011,123.819,5.470,3.908,0.389
28,0.011,124.555,4.812,3.571,0.397
29,0.011,125.497,4.363,3.545,0.387
30,0.010,121.941,5.156,2.519,0.376
31,0.012,125.010,5.815,2.522,0.405
32,0.010,127.706,5.612,2.350,0.377
33,0.010,127.438,2.933,3.622,0.362
34,0.008,123.327,1.804,3.767,0.338
35,0.013,123.658,1.260,3.219,0.430
36,0.007,122.608,0.439,3.654,0.313
37,0.013,125.113,1.698,2.168,0.422
38,0.010,124.847,1.633,2.490,0.372
39,0.012,124.360,1.487,2.327,0.397
40,0.012,119.515,0.772,2.258,0.418
41,0.013,124.921,0.197,2.765,0.429
42,0.009,125.631,0.937,2.769,0.354
43,0.011,121.314,0.690,2.532,0.388
44,0.006,0.000,2.991,2.174,0.273
45,0.010,126.668,2.795,2.314,0.366
46,0.008,124.215,4.047,2.105,0.333
47,0.006,120.574,4.204,1.913,0.276
48,0.010,118.638,4.149,2.402,0.379
49,0.007,122.245,3.948,2.383,0.305
50,0.009,127.253,3.520,2.745,0.357
51,0.007,126.033,3.681,1.513,0.313
52,0.007,126.203,3.825,1.650,0.313
53,0.011,125.559,2.795,1.985,0.391
54,0.010,126.500,2.991,2.174,0.366
55,0.013,126.998,2.820,2.800,0.414
56,0.008,125.645,1.896,3.589,0.321
57,0.013,120.683,2.408,0.350,0.425
58,0.013,121.850,1.809,1.737,0.420
59,0.006,117.342,1.644,3.059,0.298
60,0.007,125.399,1.389,2.993,0.321
61,0.007,126.481,1.540,2.906,0.313
62,0.008,122.211,1.684,2.885,0.341
63,0.006,124.162,3.267,2.456,0.301
64,0.008,122.113,3.156,2.311,0.324
65,0.009,120.429,3.348,2.239,0.354
66,0.012,122.925,1.363,1.337,0.405
67,0.008,124.780,4.356,2.886,0.342
68,0.009,122.805,4.315,3.139,0.351
69,0.009,124.164,3.914,3.245,0.361
70,0.009,124.299,3.748,3.561,0.361
71,0.009,123.925,5.061,2.972,0.346
72,0.009,117.881,5.392,2.661,0.353
73,0.009,124.650,3.627,3.752,0.338
74,0.010,125.330,3.668,1.736,0.357
75,0.009,122.972,2.909,1.745,0.357
76,0.011,124.105,3.143,2.660,0.390
77,0.009,124.311,3.814,2.656,0.346
78,0.012,120.908,2.656,3.347,0.399
79,0.009,119.481,1.970,1.348,0.346
80,0.012,125.740,3.072,1.194,0.405
81,0.012,120.821,3.039,0.618,0.402
82,0.011,126.533,3.099,0.849,0.394
83,0.007,118.381,4.154,0.957,0.316
84,0.009,123.279,2.139,2.235,0.369
85,0.008,119.257,2.684,2.514,0.326
86,0.009,126.181,1.825,2.484,0.353
87,0.008,117.360,1.908,2.681,0.344
88,0.006,116.937,1.857,3.124,0.281
89,0.011,120.873,1.571,3.202,0.386
90,0.008,123.207,2.044,1.055,0.329
91,0.007,123.151,2.538,0.774,0.314
92,0.006,124.034,2.440,0.543,0.298
93,0.006,114.919,3.361,0.912,0.288
94,0.007,118.259,4.487,1.657,0.321
95,0.010,127.464,4.777,1.811,0.361
96,0.009,126.412,5.525,1.139,0.344
97,0.009,127.003,5.771,0.803,0.349
98,0.007,117.183,5.638,3.597,0.316
99,0.009,122.502,4.987,3.208,0.357
100,0.008,126.110,4.587,2.039,0.344
