 ,Area,StdDev,X,Y,Perim.
1,10010.369,118.679,227.629,135.333,377.298
2,9026.298,125.080,66.333,334.732,353.997
3,8279.762,115.076,267.006,448.162,337.521
4,7601.093,113.178,554.074,306.839,329.283
5,19070.600,127.584,1778.990,1397.685,516.519
6,14285.984,126.712,4895.342,920.797,443.789
7,11944.575,126.854,5547.998,1823.864,408.837
8,10383.637,117.479,5418.485,3096.307,385.537
9,9738.901,125.526,5806.458,2994.307,369.060
10,9942.502,126.582,5856.844,2581.149,372.473
11,11435.574,122.055,4699.579,3029.602,413.663
12,10247.903,121.368,5211.143,2867.910,377.298
13,11673.108,125.729,5069.739,2333.873,408.837
14,7261.759,117.025,5228.754,3812.295,311.393
15,8856.631,123.968,4726.292,3704.999,349.172
16,10689.038,122.966,3960.046,2964.854,385.537
17,9399.566,120.641,3258.698,3806.628,365.648
18,7770.761,122.849,3455.272,3737.580,317.632
19,8347.629,124.158,3151.504,3516.694,337.521
20,11639.174,127.399,3270.925,2913.547,406.839
21,14048.449,125.816,1537.414,3571.845,447.201
22,11774.908,127.531,1093.559,3556.898,400.599
23,11198.039,127.297,1747.732,1822.913,397.187
24,8585.164,121.028,1482.225,1903.899,340.933
25,12725.045,127.666,2213.429,2221.056,420.488
26,10689.038,122.258,2353.611,1329.237,379.297
27,9976.435,125.857,1279.374,3658.351,370.474
28,11774.908,124.501,2552.019,3339.081,402.598
29,9840.701,113.268,563.743,1237.744,369.060
30,11740.975,127.676,818.834,689.803,405.425
31,14116.316,127.275,1292.714,3149.482,441.790
32,13403.714,127.317,5037.058,579.759,436.964
33,14659.252,127.416,5573.962,1353.371,450.028
34,13301.913,127.621,5237.086,1479.002,421.901
35,8924.498,123.000,3761.346,88.032,357.410
36,9195.966,124.672,4515.262,406.144,353.997
37,10146.102,123.849,4834.377,580.138,373.886
38,9365.633,123.055,3593.732,1127.459,364.234
39,10994.439,123.540,2788.421,2229.234,393.775
40,8788.764,123.130,2585.339,2265.941,340.933
41,10213.969,125.062,1582.579,3344.299,377.298
42,9094.165,127.039,3156.847,197.189,360.822
43,11130.172,126.644,3896.874,470.601,390.948
44,7668.960,119.509,4157.471,650.468,332.695
45,8924.498,119.118,2538.554,716.228,347.758
46,8415.496,120.572,1233.378,2638.577,340.933
47,8347.629,126.806,1129.150,2076.344,336.108
48,7906.494,125.781,877.399,2113.151,336.108
49,6650.957,121.690,1161.036,1914.335,299.157
50,9162.032,119.745,1127.206,1595.965,360.822
51,10010.369,121.204,1021.165,242.182,372.473
52,10146.102,122.188,2444.975,519.956,372.473
53,8245.829,122.811,232.374,2871.233,347.173
54,11028.372,127.667,291.594,3309.912,395.774
55,8177.962,122.095,919.651,3139.238,336.108
56,9806.768,119.668,5090.930,1800.554,367.647
57,10621.171,119.710,4660.297,2261.934,382.124
58,13810.915,120.649,4369.984,3459.428,440.377
59,9704.967,116.346,2668.980,488.852,365.648
60,14116.316,125.618,2664.180,1164.712,450.028
61,6718.824,123.680,3546.337,682.112,309.394
62,7533.227,118.287,2278.693,1568.670,325.871
63,7092.092,118.324,2096.572,1342.328,309.394
64,10213.969,123.001,1571.490,1255.243,377.298
65,12385.710,114.924,1837.178,2127.179,417.076
66,12725.045,121.736,3342.532,3201.934,415.662
67,7329.626,121.298,2024.703,2742.044,309.394
68,9433.500,118.080,1550.227,2997.590,360.822
69,10756.905,114.770,995.997,2357.873,384.123
70,10756.905,114.770,995.997,2357.873,384.123
71,8008.295,114.696,1685.100,2392.151,332.695
72,7363.559,121.551,2091.276,2079.330,317.632
73,8720.897,123.331,1306.022,1790.151,345.759
74,11740.975,125.481,1535.153,422.347,404.012
75,7770.761,120.732,2057.875,126.158,329.283
76,8177.962,122.729,1814.201,193.671,327.870
77,12521.444,122.188,2284.419,2827.745,425.314
78,10078.235,126.106,3221.271,374.924,377.298
79,9942.502,119.566,4131.181,1721.121,370.474
80,11910.642,123.882,549.689,1564.576,417.076
