 ,Area,X,Y
1,0.008,0.468,0.482
2,0.005,0.637,0.606
3,0.004,0.729,0.838
4,0.006,0.991,0.938
5,0.006,1.107,0.853
6,0.007,0.973,0.714
7,0.008,0.456,1.961
8,0.007,0.776,2.047
9,0.006,1.083,1.967
10,0.008,1.601,0.182
11,0.006,1.544,0.664
12,0.005,1.881,1.137
13,0.008,1.772,1.200
14,0.006,2.004,1.920
15,0.006,2.474,1.760
16,0.006,2.496,1.421
17,0.007,2.343,0.843
18,0.007,2.742,0.679
19,0.006,3.222,0.775
20,0.006,3.635,1.422
21,0.007,3.454,1.518
22,0.007,3.499,1.652
23,0.007,3.259,2.274
24,0.005,2.951,2.192
25,0.006,2.666,1.443
26,0.008,8.054,3.124
27,0.006,8.042,2.980
28,0.004,8.222,2.159
29,0.005,8.168,1.871
30,0.005,8.181,1.751
31,0.008,8.551,1.019
32,0.007,8.838,1.551
33,0.007,9.164,0.962
34,0.007,9.386,0.951
35,0.007,9.238,1.291
36,0.006,9.867,1.001
37,0.005,10.377,0.992
38,0.007,10.998,1.527
39,0.009,11.292,2.904
40,0.003,11.085,2.960
41,0.005,11.167,3.148
42,0.005,10.683,2.791
43,0.009,10.293,2.227
44,0.004,9.741,1.815
45,0.009,9.368,1.783
46,0.006,9.446,2.237
47,0.006,9.197,2.565
48,0.007,8.813,2.172
49,0.005,9.506,1.171
50,0.003,9.641,1.784
51,0.008,8.789,2.565
52,0.007,10.858,6.309
53,0.008,8.721,6.744
54,0.005,8.688,6.502
55,0.007,7.974,6.016
56,0.007,8.228,5.501
57,0.005,8.304,5.304
58,0.006,9.302,5.077
59,0.008,9.517,5.563
60,0.005,9.627,6.414
61,0.007,9.797,4.426
62,0.005,10.457,4.614
63,0.009,10.899,5.112
64,0.007,10.345,5.187
65,0.005,10.030,5.258
66,0.005,9.601,5.280
67,0.006,9.383,5.359
68,0.005,8.916,5.442
69,0.005,8.883,5.335
70,0.007,9.424,4.573
71,0.006,0.820,7.256
72,0.005,3.256,7.271
73,0.009,2.854,6.889
74,0.008,3.062,6.041
75,0.006,2.706,5.655
76,0.006,2.569,5.672
77,0.006,2.209,5.422
78,0.006,1.855,5.437
79,0.006,1.772,5.508
80,0.008,1.989,6.050
81,0.007,1.319,6.136
82,0.005,1.116,6.153
83,0.007,0.700,5.796
84,0.008,0.694,5.419
85,0.005,0.338,5.792
86,0.008,1.884,5.666
87,0.007,1.290,6.723
88,0.008,1.548,6.016
89,0.008,1.024,5.942
90,0.009,4.094,3.097
91,0.007,3.844,2.718
92,0.006,4.920,2.472
93,0.006,5.320,2.563
94,0.007,6.061,3.262
95,0.007,5.841,3.723
96,0.008,5.349,3.543
97,0.008,5.371,2.897
98,0.008,5.103,2.858
99,0.005,4.899,3.061
100,0.005,5.044,2.487
