 ,Area,X,Y
1,12583.361,1633.231,109.614
2,4879.262,388.847,1258.387
3,3852.049,542.021,1718.980
4,14509.385,1819.700,2115.320
5,6420.082,1975.751,1493.031
6,10528.935,2611.622,717.474
7,4622.459,2948.064,520.617
8,3210.041,4687.819,1155.581
9,5521.271,2913.894,2825.614
10,3852.049,4117.469,2583.192
11,4237.254,7212.808,3667.439
12,17334.221,10966.782,1110.691
13,5778.074,9462.134,1764.558
14,18233.033,8510.873,2015.242
15,5392.869,11270.201,961.014
16,6805.287,9939.922,5752.419
17,7832.500,11124.414,5196.025
18,16050.205,2824.476,6577.813
19,13738.976,1338.434,6415.557
20,7318.893,3458.178,7110.680
21,13738.976,6891.689,7374.600
22,21699.877,5780.545,7338.116
23,23754.303,4593.125,7208.361
