q,int
0.0019196879,0
0.0057590637,0
0.0095984399,0
0.013437815,0
0.017277192,0
0.021116567,0
0.024955943,0
0.02879532,0
0.032634693,0
0.03647407,0
0.040313447,0
0.044152823,0
0.047992197,0
0.051831573,0
0.055670947,0
0.059510326,0
0.0633497,0
0.06718908,0
0.071028453,0
0.074867827,0
0.078707206,0
0.08254658,0
0.086385953,0
0.090225333,0
0.094064707,0
0.097904086,0
0.10174346,0
0.10558283,0
0.10942221,0
0.11326159,0
0.11710097,0
0.12094034,0
0.12477971,0
0.12861909,0
0.13245846,0
0.13629785,0
0.14013722,0
0.14397659,0
0.14781597,0
0.15165534,0
0.15549473,0
0.1593341,0
0.16317347,0
0.16701285,0
0.17085222,0
0.17469161,0
0.17853098,0
0.18237035,0
0.18620973,0
0.1900491,0
0.19388847,0
0.19772786,0
0.20156722,0
0.20540662,0
0.20924599,0
0.21308537,0
0.21692474,0
0.22076411,0
0.22460349,0
0.22844286,0
0.23228223,0
0.23612161,0
0.23996098,0
0.24380035,0
0.24763975,0
0.25147913,0
0.2553185,0
0.25915787,0
0.26299725,0
0.26683662,0
0.27067599,0
0.27451537,0
0.27835474,0
0.28219411,0
0.28603349,0
0.28987288,0
0.29371226,0
0.29755163,0
0.30139101,0
0.30523038,0
0.30906975,0
0.31290913,0
0.3167485,0
0.32058787,0
0.32442725,0
0.32826664,0
0.33210602,0
0.33594539,0
0.33978477,0
0.34362414,0
0.34746351,0
0.35130289,0
0.35514226,0
0.35898163,0
0.36282101,0
0.36666038,0
0.37049978,0
0.37433915,0
0.37817852,0
0.3820179,0
0.38585727,0
0.38969665,0
0.39353602,0
0.39737539,0
0.40121479,0
0.40505414,0
0.40889354,0
0.41273289,0
0.41657228,0
0.42041163,0
0.42425103,0
0.42809038,197.4174698
0.43192978,183.691926
0.43576918,120.1253732
0.43960853,107.7363344
0.44344792,96.282577
0.44728727,92.2954142
0.45112667,83.2354828
0.45496602,83.1579688
0.45880542,92.278059
0.46264477,115.1681382
0.46648417,140.477826
0.47032351,168.39594
0.47416291,197.045272
0.47800231,206.45545
0.48184166,251.58081
0.48568106,253.132006
0.48952041,292.829352
0.4933598,305.732484
0.49719915,326.642562
0.50103855,362.845624
0.5048779,341.121394
0.5087173,390.172204
0.5125567,362.141558
0.51639605,381.951642
0.52023544,407.332488
0.52407479,401.118432
0.52791419,439.382868
0.53175354,439.51729
0.53559294,471.768086
0.53943229,463.348918
0.54327168,489.526512
0.54711103,515.2301
0.55095043,525.007544
0.55478983,571.497178
0.55862918,580.740308
0.56246858,615.163282
0.56630793,636.12002
0.57014732,632.202624
0.57398667,632.862414
0.57782607,614.734666
0.58166542,609.909754
0.58550482,609.149392
0.58934417,612.520006
0.59318357,620.12765
0.59702296,620.48003
0.60086231,620.272778
0.60470171,611.212134
0.60854106,613.723694
0.61238046,613.63517
0.61621981,606.867994
0.6200592,606.95386
0.62389855,599.939746
0.62773795,598.612646
0.6315773,594.908656
0.6354167,596.796766
0.6392561,591.77506
0.64309545,594.705946
0.64693484,599.789184
0.65077419,603.810618
0.65461359,609.244678
0.65845294,606.831506
0.66229234,605.819934
0.66613169,601.244508
0.66997108,607.237158
0.67381043,608.338622
0.67764983,612.815942
0.68148923,617.666442
0.68532858,620.23711
0.68916798,624.387694
0.69300733,624.646874
0.69684672,626.652576
0.70068607,628.577282
0.70452547,631.918056
0.70836482,630.376576
0.71220422,623.46615
0.71604357,620.370712
0.71988297,616.652464
0.72372236,623.29768
0.72756171,628.158166
0.73140111,623.243726
0.73524046,624.72937
0.73907986,624.45299
0.74291921,625.732192
0.7467586,631.344726
0.75059795,630.059644
0.75443735,629.496146
0.75827675,629.113378
0.7621161,635.664576
0.7659555,636.336462
0.76979485,639.258178
0.77363424,637.973658
0.77747359,640.285328
0.78131299,643.194558
0.78515234,647.20178
0.78899174,655.423902
0.79283109,649.31238
0.79667048,655.691102
0.80050983,650.50968
0.80434923,650.984302
0.80818863,651.700524
0.81202803,648.444984
0.81586733,653.333862
0.81970673,652.438894
0.82354612,659.350696
0.82738552,661.031678
0.83122482,662.79242
0.83506422,664.546948
0.83890362,661.355126
0.84274302,669.675146
0.84658241,675.908972
0.85042171,685.693738
0.85426111,690.864894
0.85810051,690.26882
0.86193991,695.932154
0.86577921,697.558824
0.86961861,702.537938
0.873458,702.165272
0.8772974,699.993956
0.8811368,700.827674
0.8849761,695.774524
0.8888155,696.84436
0.8926549,692.98584
0.89649429,690.972852
0.9003336,694.317006
0.90417299,694.819312
0.90801239,697.5386
0.91185179,697.05438
0.91569109,700.626708
0.91953049,699.304198
0.92336988,698.729568
0.92720928,701.64496
0.93104868,700.838196
0.93488798,697.26587
0.93872738,700.879064
0.94256678,702.59286
0.94640617,699.428916
0.95024548,705.587158
0.95408487,706.609022
0.95792427,705.840456
0.96176367,707.739988
0.96560307,709.24679
0.96944237,711.858338
0.97328176,709.370496
0.97712116,714.23374
0.98096056,711.54237
0.98479986,705.650512
0.98863926,707.314416
0.99247866,706.11045
0.99631805,709.239796
1.0001574,711.813364
1.0039968,714.386596
1.0078362,714.746558
1.0116755,716.186632
1.0155149,721.820252
1.0193542,724.488134
1.0231936,723.031164
1.027033,723.501978
1.0308724,723.73778
1.0347117,724.996422
1.0385511,726.20227
1.0423905,726.3985
1.0462299,724.684144
1.0500693,719.335804
1.0539086,720.278114
1.057748,722.593824
1.0615874,722.867018
1.0654268,728.111022
1.0692661,731.105408
1.0731055,730.685192
1.0769449,732.488342
1.0807843,732.287878
1.0846236,731.689918
1.088463,728.519678
1.0923024,731.052208
1.0961418,730.109474
1.0999812,731.71604
1.1038205,736.987256
1.1076599,734.233836
1.1114993,736.650696
1.1153387,736.013562
1.119178,736.983948
1.1230174,741.34557
1.1268568,744.148546
1.1306962,752.560938
1.1345356,754.699012
1.1383749,764.006762
1.1422143,764.705542
1.1460537,763.737354
1.1498931,764.812962
1.1537324,762.08407
1.1575718,763.649208
1.1614112,767.890282
1.1652506,769.522376
1.16909,770.329346
1.1729293,773.364174
1.1767687,768.665652
1.1806081,766.252318
1.1844475,767.619322
1.1882868,762.030628
1.1921262,765.597898
1.1959656,767.81985
1.199805,768.225818
1.2036443,768.076488
1.2074837,766.464784
1.2113231,766.79955
1.2151625,767.119138
1.2190019,775.283168
1.2228412,776.684226
1.2266806,775.137244
1.23052,773.961928
1.2343594,772.878392
1.2381987,774.253518
1.2420381,779.950732
1.2458775,787.020434
1.2497169,787.917198
1.2535563,790.135948
1.2573956,791.401466
1.261235,789.845434
1.2650743,792.929784
1.2689137,797.177052
1.272753,804.893848
1.2765924,804.149328
1.2804318,804.602866
1.2842712,802.643166
1.2881105,796.447924
1.2919499,803.95055
1.2957893,806.774338
1.2996287,812.984008
1.3034681,809.713074
1.3073074,809.894872
1.3111468,809.231458
1.3149862,805.065944
1.3188256,809.449978
1.3226649,809.702208
1.3265043,815.621216
1.3303437,819.110888
1.3341831,825.640868
1.3380225,822.710522
1.3418618,819.084718
1.3457012,826.042578
1.3495406,826.745262
1.35338,829.927504
1.3572193,833.741078
1.3610587,837.252626
1.3648981,840.143458
1.3687375,844.33213
1.3725769,849.344336
1.3764162,846.071314
1.3802556,845.712244
1.384095,844.82477
1.3879344,847.960266
1.3917737,846.602062
1.3956131,849.444544
1.3994525,857.795006
1.4032919,859.306224
1.4071312,867.319824
1.4109706,873.199562
1.41481,871.026064
1.4186494,874.847252
1.4224888,876.605056
1.4263281,882.572192
1.4301675,879.871414
1.4340069,881.333044
1.4378463,882.164088
1.4416856,882.344252
1.445525,887.051488
1.4493644,894.665784
1.4532038,897.183606
1.4570432,899.0839
1.4608825,907.536084
1.4647219,908.430946
1.4685613,912.990882
1.4724007,918.290978
1.47624,918.684912
1.4800794,922.005226
1.4839188,921.08175
1.4877582,924.493554
1.4915975,925.888526
1.4954369,925.333884
1.4992763,934.77821
1.5031157,935.917786
1.5069551,938.540626
1.5107944,941.538782
1.5146338,947.557054
1.5184731,951.907788
1.5223125,959.887112
1.5261518,967.423418
1.5299912,965.433344
1.5338306,974.510614
1.53767,978.323984
1.5415094,983.231146
1.5453487,985.967242
1.5491881,987.021396
1.5530275,989.775212
1.5568669,993.15172
1.5607062,1000.023976
1.5645456,1006.511016
1.568385,1009.480904
1.5722244,1014.335578
1.5760637,1018.26628
1.5799031,1022.94558
1.5837425,1025.7942
1.5875819,1031.9656
1.5914213,1035.28336
1.5952606,1037.79926
1.5991,1045.36232
1.6029394,1053.19614
1.6067787,1058.38702
1.6106182,1066.77016
1.6144575,1078.02752
1.618297,1076.22392
1.6221363,1083.36762
1.6259756,1088.74278
1.6298151,1092.86438
1.6336544,1103.58274
1.6374937,1112.1603
1.6413332,1118.55504
1.6451725,1116.02596
1.649012,1125.08804
1.6528513,1128.8469
1.6566906,1130.7711
1.6605301,1146.43238
1.6643694,1150.41772
1.6682089,1162.53916
1.6720482,1170.56262
1.6758875,1182.97332
1.679727,1191.12998
1.6835663,1198.38672
1.6874056,1212.10272
1.6912451,1213.2352
1.6950844,1225.48114
1.6989239,1233.20064
1.7027632,1242.49112
1.7066025,1248.85534
1.710442,1255.63952
1.7142813,1265.60208
1.7181208,1267.93434
1.7219601,1281.90476
1.7257994,1285.85544
1.7296389,1294.28336
1.7334782,1299.82958
1.7373175,1303.6547
1.741157,1317.10152
1.7449963,1315.65362
1.7488358,1332.32188
1.7526751,1331.48952
1.7565144,1340.68262
1.7603539,1346.83644
1.7641932,1344.9394
1.7680326,1353.66112
1.7718719,1348.93996
1.7757113,1361.0489
1.7795507,1358.47736
1.78339,1364.30578
1.7872295,1362.32854
1.7910688,1364.74834
1.7949081,1371.79342
1.7987476,1368.31232
1.8025869,1381.6591
1.8064262,1375.48072
1.8102657,1377.94576
1.814105,1377.60082
1.8179445,1379.16994
1.8217838,1379.43822
1.8256231,1372.26574
1.8294626,1378.30966
1.8333019,1361.4421
1.8371414,1360.41358
1.8409807,1352.9217
1.84482,1343.0174
1.8486595,1339.01326
1.8524988,1331.39116
1.8563381,1328.72284
1.8601776,1311.14018
1.8640169,1309.9381
1.8678564,1304.5152
1.8716957,1293.2037
1.875535,1291.62814
1.8793745,1278.06078
1.8832138,1266.73944
1.8870533,1256.6142
1.8908926,1249.16008
1.8947319,1240.09902
1.8985714,1227.59348
1.9024107,1217.02068
1.9062502,1203.54848
1.9100895,1187.70392
1.9139288,1179.45418
1.9177683,1168.96136
1.9216076,1159.53608
1.9254469,1153.9648
1.9292864,1147.36156
1.9331257,1138.00782
1.9369652,1130.42126
1.9408045,1117.67112
1.9446438,1100.61356
1.9484833,1091.96348
1.9523226,1082.65414
1.9561621,1078.3568
1.9600014,1072.84366
1.9638407,1061.6973
1.9676802,1056.3342
1.9715195,1046.85948
1.9753588,1038.17108
1.9791983,1030.68916
1.9830376,1018.685156
1.9868771,1012.275826
1.9907164,1001.647868
1.9945557,1001.266416
1.9983952,992.569006
2.0022345,988.512202
2.006074,986.192022
2.0099133,975.854614
2.0137526,975.013798
2.017592,964.969126
2.0214314,959.769934
2.0252707,948.658372
2.0291101,942.305738
2.0329494,940.27705
2.0367889,931.338452
2.0406282,929.624208
2.0444675,920.501952
2.048307,917.16138
2.0521463,910.155348
2.0559858,910.404602
2.0598251,904.414488
2.0636644,898.30659
2.0675039,898.503162
2.0713432,891.589782
2.0751827,891.262
2.079022,887.536412
2.0828613,887.705628
2.0867008,884.043896
2.0905401,879.713136
2.0943794,876.74519
2.0982189,868.585414
2.1020582,868.890284
2.1058977,863.632922
2.109737,863.467542
2.1135763,856.13545
2.1174158,856.461172
2.1212551,856.90238
2.1250946,855.671058
2.1289339,858.886256
2.1327732,848.760998
2.1366127,844.176122
2.140452,840.84326
2.1442913,841.967066
2.1481308,842.317112
2.1519701,839.33849
2.1558096,836.696582
2.1596489,831.411596
2.1634882,829.64237
2.1673277,830.368092
2.171167,826.572888
2.1750065,825.060474
2.1788458,825.309912
2.1826851,824.195044
2.1865246,824.99287
2.1903639,826.769264
2.1942034,823.865344
2.1980427,821.377626
2.201882,819.465346
2.2057215,818.162988
2.2095608,819.106836
2.2134001,817.077088
2.2172396,819.825184
2.2210789,819.966762
2.2249184,819.896556
2.2287577,820.092614
2.232597,814.023008
2.2364365,810.664248
2.2402758,810.112246
2.2441153,810.95475
2.2479546,813.004702
2.2517939,812.12584
2.2556334,812.606556
2.2594727,813.581052
2.263312,813.721606
2.2671515,816.507178
2.2709908,812.615308
2.2748302,808.047704
2.2786695,807.866556
2.2825089,805.955334
2.2863482999999998,809.099792
2.2901876,806.656898
2.2940271,807.850452
2.2978664,808.184144
2.3017057,807.845508
2.3055452,812.633606
2.3093845,812.940638
2.3132238,814.228344
2.3170633,817.303734
2.3209026,816.100586
2.3247421,814.473022
2.3285814,814.211158
2.3324207,812.203512
2.3362602,809.783204
2.3400995,808.28662
2.343939,806.210022
2.3477783,804.088574
2.3516176,803.241232
2.3554571,803.961094
2.3592964,803.722142
2.3631359,802.783166
2.3669752,803.969176
2.3708145,799.20553
2.374654,798.516724
2.3784933,799.425368
2.3823326,799.269398
2.3861721,797.579358
2.3900114,797.133254
2.3938509,796.730578
2.3976902,795.129408
2.4015295,795.397936
2.405369,793.79392
2.4092083,795.612646
2.4130478,794.689294
2.4168871,795.520326
2.4207264,793.941504
2.4245659,790.151354
2.4284052,793.955714
2.4322445,795.005834
2.436084,795.963866
2.4399233,797.068826
2.4437628,796.011266
2.4476021,795.881456
2.4514414,796.450942
2.4552809,795.36205
2.4591202,794.38818
2.4629597,793.298474
2.466799,794.387574
2.4706383,794.942064
2.4744778,791.93811
2.4783171,791.399536
2.4821566,791.100892
2.4859959,792.105102
2.4898352,793.443836
2.4936747,791.826392
2.497514,792.629772
2.5013533,794.235802
2.5051928,795.464756
2.5090321,796.375368
2.5128716,794.490624
2.5167109,793.651624
2.5205502,794.955762
2.5243896,793.091994
2.528229,797.030762
2.5320684,800.501636
2.5359077,797.463868
2.539747,795.761926
2.5435865,791.671326
2.5474258,792.074572
2.5512651,794.253918
2.5551046,796.777952
2.5589439,797.752212
2.5627834,798.319602
2.5666227,799.520972
2.570462,798.72239
2.5743015,794.434788
2.5781408,792.741662
2.5819803,790.83949
2.5858196,787.649806
2.5896589,788.91576
2.5934984,790.758372
2.5973377,793.702074
2.6011772,793.574634
2.6050165,793.527318
2.6088558,789.802988
2.6126953,790.258608
2.6165346,790.990198
2.6203739,792.686424
2.6242134,791.427136
2.6280527,791.795424
2.6318922,789.954308
2.6357315,789.196046
2.6395708,792.192396
2.6434103,792.591556
2.6472496,792.941274
2.6510891,790.511998
2.6549284,788.078112
2.6587677,785.346802
2.6626072,783.329686
2.6664465,781.373622
2.6702858,783.082872
2.6741253,782.27135
2.6779646,786.29342
2.6818041,787.034192
2.6856434,786.29978
2.6894827,788.761716
2.6933222,791.166088
2.6971615,793.644652
2.701001,797.310486
2.7048403,798.070484
2.7086796,794.758692
2.7125191,796.500784
2.7163584,796.131116
2.7201977,797.860072
2.7240372,797.306334
2.7278765,793.276016
2.731716,795.503054
2.7355553,792.470424
2.7393946,796.953454
2.7432341,801.929054
2.7470734,802.989796
2.7509129,806.336928
2.7547522,805.477626
2.7585915,803.088462
2.762431,807.428284
2.7662703,808.869884
2.7701097,806.780884
2.7739491,805.988942
2.7777884,805.455468
2.7816278,807.338098
2.7854671,808.923412
2.7893064,809.646082
2.7931459,809.430394
2.7969852,810.252578
2.8008247,812.648072
2.804664,813.898684
2.8085033,814.14121
2.8123428,816.47622
2.8161821,820.546338
2.8200216,821.385254
2.8238609,821.042152
2.8277002,819.476918
2.8315397,818.562964
2.835379,824.43887
2.8392183,829.27976
2.8430578,832.037402
2.8468971,832.57838
2.8507366,836.93385
2.8545759,839.392152
2.8584152,842.105788
2.8622547,846.58098
2.866094,848.681458
2.8699335,853.41947
2.8737728,859.175782
2.8776121,865.75437
2.8814516,871.48036
2.8852909,879.333548
2.8891304,886.21156
2.8929697,893.511498
2.896809,897.28225
2.9006485,902.350904
2.9044878,904.960132
2.9083271,907.845714
2.9121666,913.040794
2.9160059,921.734574
2.9198454,932.295044
2.9236847,940.953088
2.927524,952.423926
2.9313635,958.39149
2.9352028,970.654356
2.9390423,985.56701
2.9428816,993.59411
2.9467209,1003.258082
2.9505604,1013.53288
2.9543997,1023.79162
2.958239,1035.62516
2.9620785,1046.90596
2.9659178,1055.94404
2.9697573,1062.56028
2.9735966,1070.49584
2.9774359,1076.8715
2.9812754,1082.22862
2.9851147,1088.50948
2.9889542,1097.25292
2.9927935,1102.99034
2.9966328,1101.33434
3.0004723,1101.19694
3.0043116,1100.32944
3.0081509,1099.79374
3.0119904,1101.65766
3.0158297,1097.40412
3.0196692,1093.49
3.0235085,1089.66546
3.0273478,1087.8922
3.0311872,1083.95528
3.0350266,1079.75448
3.038866,1073.84554
3.0427053,1067.7652
3.0465446,1058.02824
3.0503841,1052.7779
3.0542234,1049.1469
3.0580629,1044.04852
3.0619022,1038.43134
3.0657415,1027.77348
3.069581,1016.89288
3.0734203,1009.036738
3.0772596,1006.504728
3.0810991,1002.955652
3.0849384,999.105794
3.0887779,995.712788
3.0926172,988.270582
3.0964565,981.921428
3.100296,977.417728
3.1041353,972.44806
3.1079748,969.695872
3.1118141,967.265502
3.1156534,963.890942
3.1194929,961.988332
3.1233322,957.02284
3.1271715,951.35349
3.131011,944.06692
3.1348503,938.896778
3.1386898,939.738856
3.1425291,936.951234
3.1463684,932.000366
3.1502079,928.279272
3.1540472,926.13623
3.1578867,926.886242
3.161726,925.439162
3.1655653,922.60642
3.1694048,915.064258
3.1732441,909.484152
3.1770836,909.173572
3.1809229,908.285536
3.1847622,908.272998
3.1886017,906.57168
3.192441,904.426744
3.1962803,902.958216
3.2001198,904.015186
3.2039593,904.358338
3.2077984,902.652588
3.2116379,900.60221
3.2154774,896.446924
3.2193165,893.498632
3.223156,890.569372
3.2269955,887.689038
3.2308346,883.101356
3.2346741,877.86013
3.2385136,877.324758
3.2423531,878.541966
3.2461922,879.742566
3.2500317,881.120912
3.2538712,885.341808
3.2577103,885.878552
3.2615498,886.323644
3.2653893,883.61997
3.2692284,878.459754
3.2730679,878.339234
3.2769073,881.692784
3.2807465,880.00216
3.284586,882.09585
3.2884254,876.65188
3.2922649,871.342764
3.296104,865.835254
3.2999435,866.812218
3.303783,866.86637
3.3076221,867.239844
3.3114616,868.299558
3.3153011,866.274878
3.3191402,867.42682
3.3229797,869.851124
3.3268192,870.505954
3.3306583,874.26178
3.3344978,872.91388
3.3383373,868.165516
3.3421768,860.609412
3.3460159,857.46775
3.3498554,857.768262
3.3536949,860.155786
3.357534,858.139904
3.3613735,855.357202
3.365213,853.229762
3.3690521,852.396998
3.3728916,854.593532
3.3767311,852.188536
3.3805706,851.932032
3.3844097,853.765858
3.3882492,855.810328
3.3920887,858.134058
3.3959278,858.6417
3.3997673,854.87041
3.4036068,851.357434
3.4074459,847.574866
3.4112854,844.304906
3.4151249,839.721728
3.418964,840.40044
3.4228035,841.145606
3.426643,837.510278
3.4304825,838.180248
3.4343216,839.487148
3.4381611,836.695642
3.4420006,840.236084
3.4458397,837.240796
3.4496792,837.772558
3.4535187,844.682668
3.4573578,845.806908
3.4611973,844.087598
3.4650368,839.730152
3.4688759,836.356726
3.4727154,836.156542
3.4765549,837.000976
3.4803944000000002,840.201528
3.4842335,842.25831
3.488073,843.58441
3.4919125,844.864564
3.4957516,843.695972
3.4995911,847.192174
3.5034306,849.41089
3.5072697,849.510914
3.5111092,847.992554
3.5149487,839.275878
3.5187878,837.84264
3.5226273,837.166846
3.5264668,838.904604
3.5303062,843.960548
3.5341454,844.399256
3.5379848,843.850352
3.5418243,843.507186
3.5456635,843.308742
3.5495029,841.78273
3.5533424,844.759606
3.5571815,845.116774
3.561021,842.153686
3.5648605,839.51089
3.5686996,837.765602
3.5725391,832.139454
3.5763786,833.4631
3.5802181,833.948538
3.5840572,835.930554
3.5878967,836.045496
3.5917362,834.443838
3.5955753,829.722936
3.5994148,829.272168
3.6032543,829.554918
3.6070934,828.028406
3.6109329,826.22998
3.6147724,828.852428
3.6186115,833.540294
3.622451,836.85006
3.6262905,840.694702
3.63013,839.027122
3.6339691,840.0011
3.6378086,839.337194
3.6416481,834.528318
3.6454872,833.699794
3.6493267,829.49093
3.6531662,834.58738
3.6570053,836.383214
3.6608448,839.092468
3.6646843,837.128416
3.6685238,830.170654
3.6723629,824.615636
3.6762024,821.942504
3.6800419,823.706836
