q,int
0.0019196879,0
0.0057590637,0
0.0095984399,0
0.013437815,0
0.017277192,0
0.021116567,0
0.024955943,0
0.02879532,0
0.032634693,0
0.03647407,0
0.040313447,0
0.044152823,0
0.047992197,0
0.051831573,0
0.055670947,0
0.059510326,0
0.0633497,0
0.06718908,0
0.071028453,0
0.074867827,0
0.078707206,0
0.08254658,0
0.086385953,0
0.090225333,0
0.094064707,0
0.097904086,0
0.10174346,0
0.10558283,0
0.10942221,0
0.11326159,0
0.11710097,0
0.12094034,0
0.12477971,0
0.12861909,0
0.13245846,0
0.13629785,0
0.14013722,0
0.14397659,0
0.14781597,0
0.15165534,0
0.15549473,0
0.1593341,0
0.16317347,0
0.16701285,0
0.17085222,0
0.17469161,0
0.17853098,0
0.18237035,0
0.18620973,0
0.1900491,0
0.19388847,0
0.19772786,0
0.20156722,0
0.20540662,0
0.20924599,0
0.21308537,0
0.21692474,0
0.22076411,0
0.22460349,0
0.22844286,0
0.23228223,0
0.23612161,0
0.23996098,0
0.24380035,0
0.24763975,0
0.25147913,0
0.2553185,0
0.25915787,0
0.26299725,0
0.26683662,0
0.27067599,0
0.27451537,0
0.27835474,0
0.28219411,0
0.28603349,0
0.28987288,0
0.29371226,0
0.29755163,0
0.30139101,0
0.30523038,0
0.30906975,0
0.31290913,0
0.3167485,0
0.32058787,0
0.32442725,0
0.32826664,0
0.33210602,0
0.33594539,0
0.33978477,0
0.34362414,0
0.34746351,0
0.35130289,0
0.35514226,0
0.35898163,0
0.36282101,0
0.36666038,0
0.37049978,0
0.37433915,0
0.37817852,0
0.3820179,0
0.38585727,0
0.38969665,0
0.39353602,0
0.39737539,0
0.40121479,0
0.40505414,0
0.40889354,0
0.41273289,0
0.41657228,0
0.42041163,0
0.42425103,0
0.42809038,8.5093735
0.43192978,37.318428
0.43576918,145.4803
0.43960853,158.477905
0.44344792,148.91905
0.44728727,144.857435
0.45112667,139.066545
0.45496602,160.36873
0.45880542,192.028825
0.46264477,196.414915
0.46648417,220.680265
0.47032351,233.0137
0.47416291,245.32715
0.47800231,241.800035
0.48184166,264.969695
0.48568106,246.109375
0.48952041,307.536345
0.4933598,327.675535
0.49719915,372.018005
0.50103855,431.355775
0.5048779,406.43466
0.5087173,486.309175
0.5125567,446.27008
0.51639605,473.512545
0.52023544,517.68105
0.52407479,520.57945
0.52791419,564.343
0.53175354,564.83855
0.53559294,594.7788
0.53943229,583.66485
0.54327168,613.8236
0.54711103,647.46175
0.55095043,663.67565
0.55478983,718.0517
0.55862918,762.55135
0.56246858,805.846
0.56630793,837.704
0.57014732,854.12365
0.57398667,849.3291
0.57782607,855.63165
0.58166542,861.8386
0.58550482,851.8293
0.58934417,853.7147
0.59318357,846.82475
0.59702296,847.881
0.60086231,854.4788
0.60470171,850.3929
0.60854106,844.50285
0.61238046,844.5432
0.61621981,847.2429
0.6200592,856.8644
0.62389855,866.23255
0.62773795,860.86835
0.6315773,851.5295
0.6354167,837.86925
0.6392561,825.3897
0.64309545,821.4652
0.64693484,820.7302
0.65077419,816.1725
0.65461359,811.6073
0.65845294,811.66095
0.66229234,809.2428
0.66613169,809.70635
0.66997108,811.25655
0.67381043,797.57955
0.67764983,794.6054
0.68148923,785.9387
0.68532858,784.92815
0.68916798,783.2669
0.69300733,786.3916
0.69684672,789.1979
0.70068607,788.27785
0.70452547,790.3806
0.70836482,789.6845
0.71220422,792.7492
0.71604357,793.3348
0.71988297,795.74745
0.72372236,790.92485
0.72756171,790.802
0.73140111,791.50355
0.73524046,799.66425
0.73907986,793.6142
0.74291921,793.5725
0.7467586,793.391
0.75059795,785.7768
0.75443735,792.2687
0.75827675,788.63975
0.7621161,790.9421
0.7659555,792.89665
0.76979485,789.16215
0.77363424,794.419
0.77747359,802.7519
0.78131299,801.95885
0.78515234,805.7064
0.78899174,799.5968
0.79283109,791.40835
0.79667048,792.79585
0.80050983,785.1709
0.80434923,785.0982
0.80818863,788.6311
0.81202803,784.5129
0.81586733,788.34015
0.81970673,780.9939
0.82354612,784.93505
0.82738552,788.0694
0.83122482,793.02795
0.83506422,799.80265
0.83890362,797.9815
0.84274302,799.32745
0.84658241,799.36835
0.85042171,797.8621
0.85426111,797.75685
0.85810051,800.3062
0.86193991,800.58565
0.86577921,799.93775
0.86961861,803.83
0.873458,809.9325
0.8772974,815.3691
0.8811368,822.8877
0.8849761,820.758
0.8888155,821.1675
0.8926549,819.4401
0.89649429,812.7004
0.9003336,812.2829
0.90417299,807.36145
0.90801239,809.9696
0.91185179,816.70215
0.91569109,814.79905
0.91953049,808.8158
0.92336988,796.4007
0.92720928,794.6189
0.93104868,799.0208
0.93488798,812.34760000000006
0.93872738,819.9311
0.94256678,819.693
0.94640617,820.1981
0.95024548,813.59905
0.95408487,812.82365
0.95792427,814.54395
0.96176367,816.38755
0.96560307,819.8961
0.96944237,815.9679
0.97328176,814.9516
0.97712116,814.55755
0.98096056,816.684
0.98479986,822.2174
0.98863926,822.9135
0.99247866,824.6941
0.99631805,822.42865
1.0001574,816.8892
1.0039968,819.03235
1.0078362,819.2198
1.0116755,821.83735
1.0155149,824.74885
1.0193542,821.65255
1.0231936,826.9422
1.027033,833.2021
1.0308724,836.4897
1.0347117,841.3828
1.0385511,836.9507
1.0423905,834.9229
1.0462299,834.3567
1.0500693,835.7636
1.0539086,843.6615
1.057748,846.14275
1.0615874,843.70225
1.0654268,838.7398
1.0692661,838.16915
1.0731055,837.19845
1.0769449,837.26725
1.0807843,840.7459
1.0846236,848.3925
1.088463,854.35875
1.0923024,856.40575
1.0961418,852.96875
1.0999812,848.756
1.1038205,844.4677
1.1076599,850.0025
1.1114993,849.20345
1.1153387,850.4574
1.119178,852.6234
1.1230174,851.6755
1.1268568,855.61745
1.1306962,863.9823
1.1345356,874.08055
1.1383749,875.1912
1.1422143,877.8856
1.1460537,873.72915
1.1498931,872.32355
1.1537324,874.39825
1.1575718,871.8454
1.1614112,870.4807
1.1652506,871.6529
1.16909,871.0882
1.1729293,876.5648
1.1767687,872.8795
1.1806081,872.9455
1.1844475,875.21125
1.1882868,871.61595
1.1921262,874.7303
1.1959656,875.4518
1.199805,879.3766
1.2036443,887.85735
1.2074837,893.15795
1.2113231,894.5402
1.2151625,897.7382
1.2190019,895.2672
1.2228412,900.04645
1.2266806,900.4268
1.23052,902.021
1.2343594,903.00585
1.2381987,906.2105
1.2420381,912.64935
1.2458775,915.6084
1.2497169,916.70355
1.2535563,912.33675
1.2573956,905.5901
1.261235,910.1852
1.2650743,911.80865
1.2689137,920.0251
1.272753,925.1388
1.2765924,929.0215
1.2804318,934.12855
1.2842712,933.07275
1.2881105,930.8276
1.2919499,928.40095
1.2957893,927.75965
1.2996287,931.29635
1.3034681,936.88765
1.3073074,936.876
1.3111468,939.57215
1.3149862,952.6576
1.3188256,958.4801
1.3226649,965.6654
1.3265043,970.5011
1.3303437,966.84685
1.3341831,973.03945
1.3380225,975.11885
1.3418618,978.90415
1.3457012,982.5174
1.3495406,987.96965
1.35338,993.0194
1.3572193,995.68325
1.3610587,1002.9338
1.3648981,1005.03465
1.3687375,1010.8219
1.3725769,1016.5245
1.3764162,1023.59655
1.3802556,1033.9138
1.384095,1039.8833
1.3879344,1047.83775
1.3917737,1049.9391
1.3956131,1054.19335
1.3994525,1055.72765
1.4032919,1056.5465
1.4071312,1063.3646
1.4109706,1065.12075
1.41481,1071.44875
1.4186494,1079.28235
1.4224888,1079.99485
1.4263281,1083.34255
1.4301675,1090.8788
1.4340069,1098.0891
1.4378463,1107.3916
1.4416856,1117.0309
1.445525,1125.40905
1.4493644,1133.9385
1.4532038,1145.64305
1.4570432,1160.9059
1.4608825,1164.57445
1.4647219,1172.10085
1.4685613,1182.96165
1.4724007,1187.6045
1.47624,1195.26085
1.4800794,1200.11705
1.4839188,1204.26415
1.4877582,1205.59705
1.4915975,1220.91575
1.4954369,1224.0736
1.4992763,1232.19105
1.5031157,1241.2611
1.5069551,1246.12745
1.5107944,1255.5941
1.5146338,1262.3113
1.5184731,1274.96705
1.5223125,1287.51955
1.5261518,1297.0049
1.5299912,1312.76905
1.5338306,1321.1267
1.53767,1326.7466
1.5415094,1335.515
1.5453487,1344.64405
1.5491881,1351.9031
1.5530275,1364.876
1.5568669,1385.51235
1.5607062,1397.0641
1.5645456,1417.71705
1.568385,1431.2488
1.5722244,1437.6792
1.5760637,1445.7937
1.5799031,1461.3352
1.5837425,1484.2041
1.5875819,1499.599
1.5914213,1520.39015
1.5952606,1539.09605
1.5991,1549.98805
1.6029394,1562.56565
1.6067787,1582.3717
1.6106182,1597.62815
1.6144575,1609.0823
1.618297,1637.6018
1.6221363,1658.7052
1.6259756,1679.39525
1.6298151,1707.4513
1.6336544,1727.7997
1.6374937,1751.83605
1.6413332,1772.9125
1.6451725,1806.6765
1.649012,1823.42055
1.6528513,1843.69505
1.6566906,1873.01125
1.6605301,1889.1444
1.6643694,1920.89235
1.6682089,1940.22825
1.6720482,1971.2694
1.6758875,1987.6908
1.679727,2012.4818
1.6835663,2044.65
1.6874056,2062.13305
1.6912451,2096.60155
1.6950844,2123.12815
1.6989239,2149.4651
1.7027632,2168.47265
1.7066025,2206.11205
1.710442,2236.94285
1.7142813,2265.1162
1.7181208,2305.5359
1.7219601,2322.20045
1.7257994,2351.36135
1.7296389,2373.1067
1.7334782,2411.5879
1.7373175,2436.62085
1.741157,2452.99855
1.7449963,2498.57545
1.7488358,2508.4485
1.7526751,2540.42285
1.7565144,2556.23875
1.7603539,2581.96825
1.7641932,2597.0342
1.7680326,2612.19065
1.7718719,2646.23635
1.7757113,2641.63475
1.7795507,2669.645
1.78339,2681.3528
1.7872295,2693.0713
1.7910688,2697.53225
1.7949081,2709.30005
1.7987476,2728.2998
1.8025869,2723.9436
1.8064262,2748.8386
1.8102657,2752.84105
1.814105,2757.99095
1.8179445,2747.8357
1.8217838,2761.66575
1.8256231,2746.68165
1.8294626,2722.5818
1.8333019,2730.71435
1.8371414,2699.2798
1.8409807,2687.0288
1.84482,2678.33665
1.8486595,2665.3423
1.8524988,2641.70775
1.8563381,2627.0803
1.8601776,2616.7588
1.8640169,2579.72875
1.8678564,2561.4668
1.8716957,2553.69215
1.875535,2523.5132
1.8793745,2491.54055
1.8832138,2464.91065
1.8870533,2414.28905
1.8908926,2368.2053
1.8947319,2334.72215
1.8985714,2299.8291
1.9024107,2259.10985
1.9062502,2226.19335
1.9100895,2195.6531
1.9139288,2139.4131
1.9177683,2104.19285
1.9216076,2072.67235
1.9254469,2030.2361
1.9292864,1995.8147
1.9331257,1963.4359
1.9369652,1923.5531
1.9408045,1875.3867
1.9446438,1845.29175
1.9484833,1803.3661
1.9523226,1763.9834
1.9561621,1737.0089
1.9600014,1706.1052
1.9638407,1677.63525
1.9676802,1646.6826
1.9715195,1622.5614
1.9753588,1589.05675
1.9791983,1559.4635
1.9830376,1533.10045
1.9868771,1500.3723
1.9907164,1472.7119
1.9945557,1452.06765
1.9983952,1431.8213
2.0022345,1405.51905
2.006074,1381.84645
2.0099133,1363.9066
2.0137526,1334.55945
2.017592,1314.26745
2.0214314,1298.7903
2.0252707,1273.2595
2.0291101,1254.69265
2.0329494,1234.442
2.0367889,1208.3572
2.0406282,1189.6299
2.0444675,1176.8744
2.048307,1160.2195
2.0521463,1145.02405
2.0559858,1133.37205
2.0598251,1120.74585
2.0636644,1106.6146
2.0675039,1093.6085
2.0713432,1080.7938
2.0751827,1072.55285
2.079022,1058.85195
2.0828613,1049.4093
2.0867008,1032.8594
2.0905401,1021.55355
2.0943794,1017.70825
2.0982189,1011.19945
2.1020582,1004.14775
2.1058977,992.8196
2.109737,979.21625
2.1135763,968.24485
2.1174158,962.1992
2.1212551,955.05855
2.1250946,945.9402
2.1289339,938.5815
2.1327732,933.9618
2.1366127,924.6909
2.140452,917.4793
2.1442913,910.7252
2.1481308,902.0085
2.1519701,897.71355
2.1558096,892.9849
2.1596489,886.78785
2.1634882,880.5913
2.1673277,873.883
2.171167,866.8413
2.1750065,863.60445
2.1788458,860.5868
2.1826851,860.9499
2.1865246,859.88355
2.1903639,857.67205
2.1942034,859.0543
2.1980427,852.70055
2.201882,849.6516
2.2057215,846.5672
2.2095608,838.24015
2.2134001,832.8972
2.2172396,826.0906
2.2210789,816.2572
2.2249184,809.06295
2.2287577,810.7373
2.232597,808.9976
2.2364365,812.08565
2.2402758,811.0326
2.2441153,813.6098
2.2479546,811.3919
2.2517939,812.7666
2.2556334,812.02575
2.2594727,810.92515
2.263312,808.52785
2.2671515,805.9837
2.2709908,792.5258
2.2748302,778.61975
2.2786695,772.60925
2.2825089,775.1614
2.2863482999999998,774.4392
2.2901876,770.8504
2.2940271,765.9643
2.2978664,759.9961
2.3017057,763.14995
2.3055452,766.44965
2.3093845,766.56605
2.3132238,770.283
2.3170633,763.9571
2.3209026,763.7439
2.3247421,758.47425
2.3285814,757.98005
2.3324207,763.71825
2.3362602,763.852
2.3400995,767.25405
2.343939,768.22755
2.3477783,765.6858
2.3516176,762.7574
2.3554571,763.28625
2.3592964,764.9378
2.3631359,763.30065
2.3669752,762.184
2.3708145,758.4395
2.374654,752.7857
2.3784933,754.2387
2.3823326,755.73125
2.3861721,757.7358
2.3900114,761.6877
2.3938509,760.962
2.3976902,754.9948
2.4015295,745.7892
2.405369,740.93825
2.4092083,747.43335
2.4130478,755.5555
2.4168871,760.63725
2.4207264,760.14315
2.4245659,752.7242
2.4284052,745.41395
2.4322445,744.1154
2.436084,739.0448
2.4399233,741.1005
2.4437628,736.9485
2.4476021,738.25285
2.4514414,739.018
2.4552809,742.06945
2.4591202,742.9625
2.4629597,737.8867
2.466799,737.05415
2.4706383,735.4282
2.4744778,736.11265
2.4783171,736.8124
2.4821566,737.00555
2.4859959,739.2337
2.4898352,739.07405
2.4936747,739.7469
2.497514,736.46635
2.5013533,736.89455
2.5051928,734.4826
2.5090321,732.1036
2.5128716,726.1477
2.5167109,722.9273
2.5205502,723.5116
2.5243896,721.6085
2.528229,717.5739
2.5320684,718.0816
2.5359077,720.4482
2.539747,727.6803
2.5435865,736.8435
2.5474258,733.74605
2.5512651,734.7715
2.5551046,729.0702
2.5589439,720.97245
2.5627834,721.8362
2.5666227,722.47515
2.570462,727.8015
2.5743015,732.98005
2.5781408,731.9813
2.5819803,733.15895
2.5858196,730.23315
2.5896589,729.3581
2.5934984,722.02405
2.5973377,722.5797
2.6011772,722.71985
2.6050165,721.05805
2.6088558,721.3843
2.6126953,718.21125
2.6165346,722.7501
2.6203739,723.4239
2.6242134,725.0501
2.6280527,722.521
2.6318922,723.45155
2.6357315,724.0432
2.6395708,722.5919
2.6434103,720.79995
2.6472496,715.4703
2.6510891,718.5183
2.6549284,720.9546
2.6587677,720.28925
2.6626072,718.98985
2.6664465,712.99285
2.6702858,711.0464
2.6741253,708.4771
2.6779646,708.74525
2.6818041,708.29705
2.6856434,704.8766
2.6894827,705.2964
2.6933222,706.95375
2.6971615,711.32225
2.701001,712.06225
2.7048403,709.92015
2.7086796,704.64555
2.7125191,703.26905
2.7163584,705.68575
2.7201977,710.64215
2.7240372,720.83195
2.7278765,726.3398
2.731716,729.0604
2.7355553,726.08775
2.7393946,720.90245
2.7432341,715.8939
2.7470734,718.91425
2.7509129,720.40155
2.7547522,728.16565
2.7585915,724.18065
2.762431,718.32415
2.7662703,719.7785
2.7701097,723.1018
2.7739491,725.96885
2.7777884,729.7016
2.7816278,728.18425
2.7854671,722.5765
2.7893064,723.6187
2.7931459,721.1695
2.7969852,721.3856
2.8008247,726.17315
2.804664,730.2157
2.8085033,730.67695
2.8123428,733.54815
2.8161821,734.9488
2.8200216,739.2086
2.8238609,741.4941
2.8277002,741.66935
2.8315397,736.33345
2.835379,735.53485
2.8392183,736.76665
2.8430578,742.8374
2.8468971,752.59135
2.8507366,748.32075
2.8545759,749.1521
2.8584152,748.0717
2.8622547,747.08515
2.866094,756.9026
2.8699335,760.24935
2.8737728,756.2127
2.8776121,763.88995
2.8814516,766.8323
2.8852909,769.55225
2.8891304,777.49635
2.8929697,780.6159
2.896809,785.7961
2.9006485,792.6083
2.9044878,793.65975
2.9083271,794.7332
2.9121666,802.7051
2.9160059,804.50075
2.9198454,812.72035
2.9236847,813.61135
2.927524,820.56975
2.9313635,828.3229
2.9352028,836.83295
2.9390423,845.52045
2.9428816,856.36835
2.9467209,861.6271
2.9505604,872.5041
2.9543997,882.8457
2.958239,885.4027
2.9620785,893.30025
2.9659178,896.30445
2.9697573,896.25975
2.9735966,896.87695
2.9774359,902.06725
2.9812754,906.09925
2.9851147,915.4779
2.9889542,926.32915
2.9927935,926.84975
2.9966328,927.9698
3.0004723,932.70735
3.0043116,935.93705
3.0081509,938.06105
3.0119904,934.8831
3.0158297,936.59455
3.0196692,930.2671
3.0235085,930.1308
3.0273478,927.473
3.0311872,917.9754
3.0350266,920.4807
3.038866,920.93635
3.0427053,921.59535
3.0465446,917.7042
3.0503841,910.36815
3.0542234,898.28065
3.0580629,892.7824
3.0619022,890.2113
3.0657415,885.3365
3.069581,880.606
3.0734203,875.2758
3.0772596,875.16215
3.0810991,876.7819
3.0849384,873.55885
3.0887779,871.6089
3.0926172,866.91085
3.0964565,858.73925
3.100296,859.6794
3.1041353,858.9069
3.1079748,857.56005
3.1118141,864.42405
3.1156534,863.07825
3.1194929,855.0899
3.1233322,852.67755
3.1271715,844.54865
3.131011,838.8383
3.1348503,832.7566
3.1386898,831.2585
3.1425291,831.0916
3.1463684,829.49335
3.1502079,829.7173
3.1540472,826.64155
3.1578867,828.93805
3.161726,833.19715
3.1655653,834.255
3.1694048,830.63795
3.1732441,824.91325
3.1770836,816.96035
3.1809229,811.15985
3.1847622,805.52455
3.1886017,800.77175
3.192441,805.66375
3.1962803,807.8099
3.2001198,811.69605
3.2039593,813.69255
3.2077984,808.03375
3.2116379,810.8059
3.2154774,808.3374
3.2193165,808.105
3.223156,807.8131
3.2269955,807.50475
3.2308346,805.7267
3.2346741,806.9843
3.2385136,804.7633
3.2423531,801.2748
3.2461922,803.17125
3.2500317,801.75025
3.2538712,797.73595
3.2577103,802.7784
3.2615498,803.40255
3.2653893,811.45875
3.2692284,815.66075
3.2730679,813.01
3.2769073,809.28625
3.2807465,807.20845
3.284586,809.61255
3.2884254,810.91125
3.2922649,810.1828
3.296104,805.92475
3.2999435,801.7736
3.303783,802.21855
3.3076221,800.61165
3.3114616,803.03645
3.3153011,801.8485
3.3191402,798.0357
3.3229797,795.0644
3.3268192,794.6292
3.3306583,798.5346
3.3344978,801.11855
3.3383373,800.0146
3.3421768,793.781
3.3460159,787.00535
3.3498554,783.29115
3.3536949,783.45705
3.357534,790.521
3.3613735,794.0866
3.365213,806.1996
3.3690521,807.0893
3.3728916,810.2557
3.3767311,809.126
3.3805706,805.0534
3.3844097,801.7535
3.3882492,799.41645
3.3920887,799.6471
3.3959278,805.2715
3.3997673,803.59325
3.4036068,803.58275
3.4074459,802.821
3.4112854,798.8527
3.4151249,795.5893
3.418964,787.80465
3.4228035,788.7745
3.426643,789.5201
3.4304825,794.96055
3.4343216,797.57525
3.4381611,791.6082
3.4420006,787.3776
3.4458397,786.03575
3.4496792,787.4753
3.4535187,786.38485
3.4573578,796.9247
3.4611973,798.6486
3.4650368,800.43455
3.4688759,804.78945
3.4727154,802.78405
3.4765549,804.1352
3.4803944000000002,807.6991
3.4842335,807.62695
3.488073,806.60145
3.4919125,804.47145
3.4957516,799.66375
3.4995911,802.6203
3.5034306,803.8529
3.5072697,806.5814
3.5111092,811.3372
3.5149487,813.7658
3.5187878,816.69165
3.5226273,815.4964
3.5264668,809.62995
3.5303062,807.7641
3.5341454,806.44845
3.5379848,812.74605
3.5418243,819.5302
3.5456635,819.882
3.5495029,817.69265
3.5533424,810.0323
3.5571815,812.1565
3.561021,813.63695
3.5648605,820.43425
3.5686996,825.44405
3.5725391,825.15075
3.5763786,821.33235
3.5802181,816.03355
3.5840572,814.8452
3.5878967,820.0529
3.5917362,826.9231
3.5955753,827.45675
3.5994148,830.3089
3.6032543,828.63085
3.6070934,834.59625
3.6109329,838.954
3.6147724,836.21095
3.6186115,836.45815
3.622451,831.06915
3.6262905,833.4495
3.63013,834.37025
3.6339691,835.8097
3.6378086,832.6756
3.6416481,832.72245
3.6454872,827.33305
3.6493267,820.13605
3.6531662,817.65505
3.6570053,811.8704
3.6608448,812.99135
3.6646843,820.8858
3.6685238,824.8189
3.6723629,828.8684
3.6762024,828.8319
