sample,run,Q,dQ,P.kbar,P,VV0,dVV0
PY02,1,1.8025869,0.0090129345,0,0,1,0.021213203435596427
PY02,2,1.8409807,0.0092049035,2.4,0.24,0.9387304921460461,0.01991348090109163
PY02,3,1.875535,0.009377675,8.8,0.8800000000000001,0.8877958539073604,0.01883299405821588
PY02,4,1.875535,0.009377675,15.9,1.59,0.8877958539073604,0.01883299405821588
PY02,5,1.8908926,0.009454463,27.75,2.775,0.866339358145729,0.018377833048609384
PY02,6,1.9292864,0.009646432,36,3.6,0.8156400134545887,0.017302337535624795
PY02,7,1.9369652,0.009684826,40,4,0.8059779811583041,0.017097374878922406
PY02,8,1.9715195,0.0098575975,51,5.1,0.7643379106290723,0.01621405559171323
PY02,9,1.9024107,0.0095120535,23,2.3,0.8506987445898251,0.018046045531390446
PY02,10,1.8678564,0.009339282,7.5,0.75,0.8987898872988658,0.019066212725127624
PY02,11,1.8025869,0.0090129345,0.1,0.01,1,0.021213203435596427
PY02bis,1,1.8217838,0.009108919,0,0,1,0.021213203435596427
PY02bis,2,1.8832138,0.0094160690000000009,3,0.3,0.9052981306539023,0.019204273415426385
PY02bis,3,1.8832138,0.0094160690000000009,16,1.6,0.9052981306539023,0.019204273415426385
PY02bis,4,1.9331257,0.0096656285,38,3.8,0.8369706400209349,0.017754828456385437
PY02bis,5,1.9715195,0.0098575975,48,4.8,0.7890186643255138,0.016737613440819695
