t(ns)	MSD(A2)
0.000000	0.000000e+00
0.001000	6.144935e+00
0.002000	1.186072e+01
0.003000	1.747960e+01
0.004000	2.303150e+01
0.005000	2.852526e+01
0.006000	3.396528e+01
0.007000	3.935582e+01
0.008000	4.470082e+01
0.009000	5.000308e+01
0.010000	5.526483e+01
0.011000	6.048774e+01
0.012000	6.567362e+01
0.013000	7.082493e+01
0.014000	7.594274e+01
0.015000	8.102863e+01
0.016000	8.608450e+01
0.017000	9.111061e+01
0.018000	9.610785e+01
0.019000	1.010777e+02
0.020000	1.060216e+02
0.021000	1.109400e+02
0.022000	1.158336e+02
0.023000	1.207036e+02
0.024000	1.255497e+02
0.025000	1.303740e+02
0.026000	1.351778e+02
0.027000	1.399616e+02
0.028000	1.447256e+02
0.029000	1.494696e+02
0.030000	1.541946e+02
0.031000	1.589017e+02
0.032000	1.635917e+02
0.033000	1.682635e+02
0.034000	1.729186e+02
0.035000	1.775571e+02
0.036000	1.821800e+02
0.037000	1.867873e+02
0.038000	1.913791e+02
0.039000	1.959564e+02
0.040000	2.005197e+02
0.041000	2.050690e+02
0.042000	2.096050e+02
0.043000	2.141275e+02
0.044000	2.186372e+02
0.045000	2.231342e+02
0.046000	2.276190e+02
0.047000	2.320922e+02
0.048000	2.365535e+02
0.049000	2.410045e+02
0.050000	2.454447e+02
0.051000	2.498743e+02
0.052000	2.542934e+02
0.053000	2.587019e+02
0.054000	2.631001e+02
0.055000	2.674884e+02
0.056000	2.718665e+02
0.057000	2.762352e+02
0.058000	2.805946e+02
0.059000	2.849450e+02
0.060000	2.892868e+02
0.061000	2.936200e+02
0.062000	2.979441e+02
0.063000	3.022597e+02
0.064000	3.065670e+02
0.065000	3.108663e+02
0.066000	3.151577e+02
0.067000	3.194415e+02
0.068000	3.237180e+02
0.069000	3.279873e+02
0.070000	3.322493e+02
0.071000	3.365041e+02
0.072000	3.407516e+02
0.073000	3.449929e+02
0.074000	3.492286e+02
0.075000	3.534584e+02
0.076000	3.576819e+02
0.077000	3.618986e+02
0.078000	3.661089e+02
0.079000	3.703134e+02
0.080000	3.745111e+02
0.081000	3.787026e+02
0.082000	3.828881e+02
0.083000	3.870676e+02
0.084000	3.912412e+02
0.085000	3.954093e+02
0.086000	3.995718e+02
0.087000	4.037286e+02
0.088000	4.078808e+02
0.089000	4.120281e+02
0.090000	4.161699e+02
0.091000	4.203070e+02
0.092000	4.244396e+02
0.093000	4.285678e+02
0.094000	4.326912e+02
0.095000	4.368102e+02
0.096000	4.409252e+02
0.097000	4.450365e+02
0.098000	4.491437e+02
0.099000	4.532463e+02
0.100000	4.573450e+02
0.101000	4.614390e+02
0.102000	4.655290e+02
