t(ns)	MSD(A2)
0.000000	0.000000e+00
0.001000	4.829200e+00
0.002000	9.164135e+00
0.003000	1.331995e+01
0.004000	1.734795e+01
0.005000	2.127219e+01
0.006000	2.510809e+01
0.007000	2.886722e+01
0.008000	3.255733e+01
0.009000	3.618587e+01
0.010000	3.975849e+01
0.011000	4.328049e+01
0.012000	4.675496e+01
0.013000	5.018578e+01
0.014000	5.357535e+01
0.015000	5.692646e+01
0.016000	6.024171e+01
0.017000	6.352422e+01
0.018000	6.677639e+01
0.019000	6.999983e+01
0.020000	7.319555e+01
0.021000	7.636553e+01
0.022000	7.951094e+01
0.023000	8.263319e+01
0.024000	8.573213e+01
0.025000	8.880954e+01
0.026000	9.186593e+01
0.027000	9.490293e+01
0.028000	9.792128e+01
0.029000	1.009225e+02
0.030000	1.039066e+02
0.031000	1.068743e+02
0.032000	1.098264e+02
0.033000	1.127641e+02
0.034000	1.156881e+02
0.035000	1.185981e+02
0.036000	1.214951e+02
0.037000	1.243788e+02
0.038000	1.272507e+02
0.039000	1.301096e+02
0.040000	1.329567e+02
0.041000	1.357918e+02
0.042000	1.386148e+02
0.043000	1.414277e+02
0.044000	1.442301e+02
0.045000	1.470225e+02
0.046000	1.498055e+02
0.047000	1.525790e+02
0.048000	1.553436e+02
0.049000	1.580984e+02
0.050000	1.608443e+02
0.051000	1.635818e+02
0.052000	1.663118e+02
0.053000	1.690342e+02
0.054000	1.717487e+02
0.055000	1.744557e+02
0.056000	1.771557e+02
0.057000	1.798485e+02
0.058000	1.825336e+02
0.059000	1.852120e+02
0.060000	1.878839e+02
0.061000	1.905489e+02
0.062000	1.932076e+02
0.063000	1.958597e+02
0.064000	1.985052e+02
0.065000	2.011447e+02
0.066000	2.037774e+02
0.067000	2.064036e+02
0.068000	2.090246e+02
0.069000	2.116401e+02
0.070000	2.142495e+02
0.071000	2.168532e+02
0.072000	2.194507e+02
0.073000	2.220424e+02
0.074000	2.246282e+02
0.075000	2.272098e+02
0.076000	2.297869e+02
0.077000	2.323599e+02
0.078000	2.349277e+02
0.079000	2.374907e+02
0.080000	2.400487e+02
0.081000	2.426013e+02
0.082000	2.451488e+02
0.083000	2.476916e+02
0.084000	2.502296e+02
0.085000	2.527632e+02
0.086000	2.552919e+02
0.087000	2.578168e+02
0.088000	2.603378e+02
0.089000	2.628548e+02
0.090000	2.653677e+02
0.091000	2.678762e+02
0.092000	2.703808e+02
0.093000	2.728820e+02
0.094000	2.753790e+02
0.095000	2.778716e+02
0.096000	2.803610e+02
0.097000	2.828471e+02
0.098000	2.853297e+02
0.099000	2.878087e+02
0.100000	2.902847e+02
0.101000	2.927572e+02
0.102000	2.952266e+02
0.103000	2.976927e+02
0.104000	3.001553e+02
0.105000	3.026148e+02
0.106000	3.050713e+02
0.107000	3.075242e+02
0.108000	3.099745e+02
0.109000	3.124218e+02
0.110000	3.148658e+02
0.111000	3.173063e+02
0.112000	3.197439e+02
0.113000	3.221786e+02
0.114000	3.246103e+02
0.115000	3.270394e+02
0.116000	3.294656e+02
0.117000	3.318884e+02
0.118000	3.343083e+02
0.119000	3.367267e+02
0.120000	3.391416e+02
0.121000	3.415541e+02
0.122000	3.439640e+02
0.123000	3.463714e+02
0.124000	3.487751e+02
0.125000	3.511760e+02
0.126000	3.535744e+02
0.127000	3.559706e+02
0.128000	3.583639e+02
0.129000	3.607549e+02
0.130000	3.631426e+02
0.131000	3.655281e+02
0.132000	3.679112e+02
0.133000	3.702919e+02
0.134000	3.726707e+02
0.135000	3.750474e+02
0.136000	3.774221e+02
0.137000	3.797947e+02
0.138000	3.821643e+02
0.139000	3.845322e+02
0.140000	3.868972e+02
0.141000	3.892605e+02
0.142000	3.916216e+02
0.143000	3.939799e+02
0.144000	3.963352e+02
0.145000	3.986886e+02
0.146000	4.010392e+02
0.147000	4.033870e+02
0.148000	4.057329e+02
0.149000	4.080767e+02
0.150000	4.104199e+02
0.151000	4.127613e+02
0.152000	4.151007e+02
0.153000	4.174373e+02
0.154000	4.197713e+02
0.155000	4.221033e+02
0.156000	4.244330e+02
0.157000	4.267598e+02
0.158000	4.290841e+02
0.159000	4.314062e+02
0.160000	4.337260e+02
0.161000	4.360438e+02
0.162000	4.383594e+02
0.163000	4.406733e+02
0.164000	4.429850e+02
0.165000	4.452949e+02
0.166000	4.476022e+02
0.167000	4.499088e+02
0.168000	4.522135e+02
0.169000	4.545161e+02
0.170000	4.568157e+02
0.171000	4.591139e+02
0.172000	4.614109e+02
0.173000	4.637052e+02
0.174000	4.659985e+02
0.175000	4.682901e+02
0.176000	4.705804e+02
0.177000	4.728689e+02
0.178000	4.751554e+02
0.179000	4.774397e+02
0.180000	4.797229e+02
0.181000	4.820044e+02
0.182000	4.842841e+02
0.183000	4.865621e+02
0.184000	4.888383e+02
0.185000	4.911129e+02
0.186000	4.933863e+02
0.187000	4.956568e+02
0.188000	4.979262e+02
0.189000	5.001951e+02
0.190000	5.024623e+02
0.191000	5.047278e+02
0.192000	5.069920e+02
0.193000	5.092548e+02
0.194000	5.115162e+02
0.195000	5.137770e+02
0.196000	5.160358e+02
0.197000	5.182930e+02
0.198000	5.205488e+02
0.199000	5.228027e+02
0.200000	5.250545e+02
0.201000	5.273039e+02
0.202000	5.295522e+02
0.203000	5.317989e+02
0.204000	5.340442e+02
0.205000	5.362874e+02
0.206000	5.385298e+02
0.207000	5.407708e+02
0.208000	5.430101e+02
0.209000	5.452476e+02
0.210000	5.474833e+02
0.211000	5.497187e+02
0.212000	5.519527e+02
0.213000	5.541856e+02
0.214000	5.564175e+02
0.215000	5.586479e+02
0.216000	5.608773e+02
0.217000	5.631048e+02
0.218000	5.653316e+02
0.219000	5.675569e+02
0.220000	5.697811e+02
0.221000	5.720042e+02
0.222000	5.742257e+02
0.223000	5.764460e+02
0.224000	5.786655e+02
0.225000	5.808835e+02
0.226000	5.831011e+02
0.227000	5.853184e+02
0.228000	5.875336e+02
0.229000	5.897489e+02
0.230000	5.919623e+02
0.231000	5.941746e+02
0.232000	5.963854e+02
0.233000	5.985946e+02
0.234000	6.008025e+02
0.235000	6.030093e+02
0.236000	6.052155e+02
0.237000	6.074208e+02
0.238000	6.096244e+02
0.239000	6.118270e+02
0.240000	6.140287e+02
0.241000	6.162299e+02
0.242000	6.184306e+02
0.243000	6.206298e+02
0.244000	6.228279e+02
0.245000	6.250251e+02
0.246000	6.272209e+02
0.247000	6.294147e+02
0.248000	6.316080e+02
0.249000	6.337995e+02
0.250000	6.359907e+02
0.251000	6.381820e+02
0.252000	6.403726e+02
0.253000	6.425620e+02
0.254000	6.447506e+02
0.255000	6.469377e+02
0.256000	6.491241e+02
0.257000	6.513086e+02
0.258000	6.534918e+02
0.259000	6.556743e+02
0.260000	6.578560e+02
0.261000	6.600360e+02
0.262000	6.622153e+02
0.263000	6.643933e+02
0.264000	6.665703e+02
0.265000	6.687459e+02
0.266000	6.709204e+02
0.267000	6.730935e+02
0.268000	6.752662e+02
0.269000	6.774383e+02
0.270000	6.796095e+02
0.271000	6.817796e+02
0.272000	6.839484e+02
0.273000	6.861159e+02
0.274000	6.882820e+02
0.275000	6.904463e+02
0.276000	6.926092e+02
0.277000	6.947719e+02
0.278000	6.969336e+02
0.279000	6.990944e+02
0.280000	7.012546e+02
0.281000	7.034139e+02
0.282000	7.055719e+02
0.283000	7.077281e+02
0.284000	7.098837e+02
0.285000	7.120382e+02
0.286000	7.141918e+02
0.287000	7.163445e+02
0.288000	7.184960e+02
0.289000	7.206471e+02
0.290000	7.227976e+02
0.291000	7.249478e+02
0.292000	7.270963e+02
0.293000	7.292434e+02
0.294000	7.313902e+02
0.295000	7.335364e+02
0.296000	7.356816e+02
0.297000	7.378256e+02
0.298000	7.399691e+02
0.299000	7.421114e+02
0.300000	7.442532e+02
0.301000	7.463939e+02
0.302000	7.485341e+02
0.303000	7.506737e+02
0.304000	7.528126e+02
0.305000	7.549505e+02
0.306000	7.570875e+02
0.307000	7.592235e+02
0.308000	7.613587e+02
0.309000	7.634934e+02
0.310000	7.656273e+02
0.311000	7.677612e+02
0.312000	7.698938e+02
0.313000	7.720254e+02
0.314000	7.741569e+02
0.315000	7.762870e+02
0.316000	7.784162e+02
0.317000	7.805446e+02
0.318000	7.826718e+02
0.319000	7.847975e+02
0.320000	7.869221e+02
0.321000	7.890460e+02
0.322000	7.911689e+02
0.323000	7.932912e+02
0.324000	7.954131e+02
0.325000	7.975342e+02
0.326000	7.996538e+02
0.327000	8.017728e+02
0.328000	8.038905e+02
0.329000	8.060069e+02
0.330000	8.081228e+02
0.331000	8.102390e+02
0.332000	8.123539e+02
0.333000	8.144682e+02
0.334000	8.165818e+02
0.335000	8.186950e+02
0.336000	8.208074e+02
0.337000	8.229185e+02
0.338000	8.250288e+02
0.339000	8.271386e+02
0.340000	8.292476e+02
0.341000	8.313566e+02
0.342000	8.334645e+02
0.343000	8.355725e+02
0.344000	8.376787e+02
0.345000	8.397847e+02
0.346000	8.418892e+02
0.347000	8.439926e+02
0.348000	8.460956e+02
0.349000	8.481982e+02
0.350000	8.503008e+02
0.351000	8.524024e+02
0.352000	8.545041e+02
0.353000	8.566053e+02
0.354000	8.587058e+02
0.355000	8.608056e+02
0.356000	8.629046e+02
0.357000	8.650025e+02
0.358000	8.671000e+02
0.359000	8.691967e+02
0.360000	8.712931e+02
0.361000	8.733891e+02
0.362000	8.754837e+02
0.363000	8.775779e+02
0.364000	8.796709e+02
0.365000	8.817627e+02
0.366000	8.838537e+02
0.367000	8.859441e+02
0.368000	8.880327e+02
0.369000	8.901208e+02
0.370000	8.922086e+02
0.371000	8.942966e+02
0.372000	8.963833e+02
0.373000	8.984701e+02
0.374000	9.005564e+02
0.375000	9.026417e+02
0.376000	9.047269e+02
0.377000	9.068108e+02
0.378000	9.088946e+02
0.379000	9.109778e+02
0.380000	9.130610e+02
0.381000	9.151429e+02
0.382000	9.172242e+02
0.383000	9.193047e+02
0.384000	9.213850e+02
0.385000	9.234650e+02
0.386000	9.255446e+02
0.387000	9.276240e+02
0.388000	9.297030e+02
0.389000	9.317810e+02
0.390000	9.338581e+02
0.391000	9.359344e+02
0.392000	9.380111e+02
0.393000	9.400876e+02
0.394000	9.421642e+02
0.395000	9.442398e+02
0.396000	9.463150e+02
0.397000	9.483897e+02
0.398000	9.504639e+02
0.399000	9.525372e+02
0.400000	9.546104e+02
0.401000	9.566834e+02
0.402000	9.587552e+02
0.403000	9.608259e+02
0.404000	9.628956e+02
0.405000	9.649646e+02
0.406000	9.670327e+02
0.407000	9.690994e+02
0.408000	9.711652e+02
0.409000	9.732302e+02
0.410000	9.752953e+02
0.411000	9.773602e+02
0.412000	9.794249e+02
0.413000	9.814886e+02
0.414000	9.835511e+02
0.415000	9.856131e+02
0.416000	9.876746e+02
0.417000	9.897361e+02
0.418000	9.917966e+02
0.419000	9.938568e+02
0.420000	9.959161e+02
0.421000	9.979754e+02
0.422000	1.000034e+03
0.423000	1.002092e+03
0.424000	1.004150e+03
0.425000	1.006208e+03
0.426000	1.008265e+03
0.427000	1.010321e+03
0.428000	1.012376e+03
0.429000	1.014430e+03
0.430000	1.016485e+03
0.431000	1.018539e+03
0.432000	1.020593e+03
0.433000	1.022646e+03
0.434000	1.024698e+03
0.435000	1.026749e+03
0.436000	1.028801e+03
0.437000	1.030852e+03
0.438000	1.032902e+03
0.439000	1.034952e+03
0.440000	1.037002e+03
0.441000	1.039050e+03
0.442000	1.041098e+03
0.443000	1.043147e+03
0.444000	1.045195e+03
0.445000	1.047244e+03
0.446000	1.049291e+03
0.447000	1.051337e+03
0.448000	1.053383e+03
0.449000	1.055429e+03
0.450000	1.057474e+03
0.451000	1.059519e+03
0.452000	1.061564e+03
0.453000	1.063608e+03
0.454000	1.065653e+03
0.455000	1.067696e+03
0.456000	1.069739e+03
0.457000	1.071781e+03
0.458000	1.073823e+03
0.459000	1.075864e+03
0.460000	1.077904e+03
0.461000	1.079944e+03
0.462000	1.081984e+03
0.463000	1.084023e+03
