t(ns)	MSD(A2)
0.000000	0.000000e+00
0.001000	6.508266e+00
0.002000	1.326745e+01
0.003000	2.011688e+01
0.004000	2.700038e+01
0.005000	3.389648e+01
0.006000	4.079923e+01
0.007000	4.770324e+01
0.008000	5.460918e+01
0.009000	6.151681e+01
0.010000	6.842503e+01
0.011000	7.533321e+01
0.012000	8.224113e+01
0.013000	8.915029e+01
0.014000	9.605998e+01
0.015000	1.029703e+02
0.016000	1.098798e+02
0.017000	1.167903e+02
0.018000	1.236999e+02
0.019000	1.306103e+02
0.020000	1.375214e+02
0.021000	1.444343e+02
0.022000	1.513474e+02
0.023000	1.582587e+02
0.024000	1.651704e+02
0.025000	1.720822e+02
0.026000	1.789953e+02
0.027000	1.859080e+02
0.028000	1.928201e+02
0.029000	1.997345e+02
0.030000	2.066489e+02
0.031000	2.135647e+02
0.032000	2.204803e+02
0.033000	2.273952e+02
0.034000	2.343110e+02
0.035000	2.412259e+02
0.036000	2.481410e+02
0.037000	2.550553e+02
0.038000	2.619697e+02
0.039000	2.688813e+02
0.040000	2.757917e+02
0.041000	2.827017e+02
0.042000	2.896112e+02
0.043000	2.965218e+02
0.044000	3.034332e+02
0.045000	3.103434e+02
0.046000	3.172544e+02
0.047000	3.241651e+02
0.048000	3.310760e+02
0.049000	3.379878e+02
0.050000	3.449020e+02
0.051000	3.518159e+02
0.052000	3.587317e+02
0.053000	3.656469e+02
0.054000	3.725644e+02
0.055000	3.794826e+02
0.056000	3.864001e+02
0.057000	3.933189e+02
0.058000	4.002361e+02
0.059000	4.071524e+02
0.060000	4.140684e+02
0.061000	4.209849e+02
0.062000	4.279008e+02
0.063000	4.348174e+02
0.064000	4.417336e+02
0.065000	4.486493e+02
0.066000	4.555645e+02
0.067000	4.624790e+02
0.068000	4.693916e+02
0.069000	4.763059e+02
0.070000	4.832218e+02
0.071000	4.901378e+02
0.072000	4.970526e+02
0.073000	5.039672e+02
0.074000	5.108814e+02
0.075000	5.177949e+02
0.076000	5.247086e+02
0.077000	5.316213e+02
0.078000	5.385349e+02
0.079000	5.454491e+02
0.080000	5.523654e+02
0.081000	5.592812e+02
0.082000	5.661968e+02
0.083000	5.731133e+02
0.084000	5.800275e+02
0.085000	5.869421e+02
0.086000	5.938564e+02
0.087000	6.007700e+02
0.088000	6.076847e+02
0.089000	6.145976e+02
0.090000	6.215090e+02
0.091000	6.284187e+02
0.092000	6.353273e+02
0.093000	6.422364e+02
0.094000	6.491444e+02
0.095000	6.560513e+02
0.096000	6.629564e+02
0.097000	6.698605e+02
0.098000	6.767640e+02
0.099000	6.836678e+02
0.100000	6.905711e+02
0.101000	6.974759e+02
0.102000	7.043816e+02
0.103000	7.112873e+02
0.104000	7.181927e+02
0.105000	7.251017e+02
0.106000	7.320110e+02
0.107000	7.389207e+02
0.108000	7.458322e+02
0.109000	7.527419e+02
0.110000	7.596524e+02
0.111000	7.665628e+02
0.112000	7.734747e+02
0.113000	7.803857e+02
0.114000	7.872956e+02
0.115000	7.942053e+02
0.116000	8.011154e+02
0.117000	8.080241e+02
0.118000	8.149304e+02
0.119000	8.218384e+02
0.120000	8.287469e+02
0.121000	8.356562e+02
0.122000	8.425660e+02
0.123000	8.494745e+02
0.124000	8.563826e+02
0.125000	8.632921e+02
0.126000	8.702032e+02
0.127000	8.771154e+02
0.128000	8.840295e+02
0.129000	8.909443e+02
0.130000	8.978584e+02
0.131000	9.047734e+02
0.132000	9.116869e+02
0.133000	9.186009e+02
0.134000	9.255159e+02
0.135000	9.324311e+02
0.136000	9.393440e+02
0.137000	9.462567e+02
0.138000	9.531699e+02
0.139000	9.600830e+02
0.140000	9.669960e+02
0.141000	9.739107e+02
0.142000	9.808281e+02
0.143000	9.877449e+02
0.144000	9.946624e+02
0.145000	1.001580e+03
0.146000	1.008499e+03
0.147000	1.015416e+03
0.148000	1.022334e+03
0.149000	1.029253e+03
0.150000	1.036173e+03
0.151000	1.043092e+03
0.152000	1.050010e+03
0.153000	1.056930e+03
0.154000	1.063854e+03
0.155000	1.070779e+03
0.156000	1.077704e+03
0.157000	1.084629e+03
0.158000	1.091555e+03
0.159000	1.098479e+03
0.160000	1.105401e+03
0.161000	1.112322e+03
0.162000	1.119242e+03
0.163000	1.126162e+03
0.164000	1.133084e+03
0.165000	1.140008e+03
0.166000	1.146933e+03
0.167000	1.153858e+03
0.168000	1.160783e+03
0.169000	1.167707e+03
0.170000	1.174631e+03
0.171000	1.181553e+03
0.172000	1.188475e+03
0.173000	1.195395e+03
0.174000	1.202313e+03
0.175000	1.209231e+03
0.176000	1.216150e+03
0.177000	1.223070e+03
0.178000	1.229991e+03
0.179000	1.236912e+03
0.180000	1.243831e+03
0.181000	1.250751e+03
0.182000	1.257670e+03
0.183000	1.264588e+03
0.184000	1.271508e+03
0.185000	1.278429e+03
0.186000	1.285349e+03
0.187000	1.292269e+03
0.188000	1.299186e+03
0.189000	1.306103e+03
0.190000	1.313018e+03
0.191000	1.319935e+03
0.192000	1.326850e+03
0.193000	1.333767e+03
0.194000	1.340683e+03
0.195000	1.347599e+03
0.196000	1.354515e+03
0.197000	1.361430e+03
0.198000	1.368346e+03
0.199000	1.375261e+03
0.200000	1.382178e+03
0.201000	1.389094e+03
0.202000	1.396010e+03
0.203000	1.402924e+03
0.204000	1.409840e+03
0.205000	1.416755e+03
0.206000	1.423671e+03
0.207000	1.430588e+03
0.208000	1.437504e+03
0.209000	1.444420e+03
0.210000	1.451337e+03
0.211000	1.458254e+03
0.212000	1.465171e+03
0.213000	1.472087e+03
0.214000	1.479002e+03
0.215000	1.485918e+03
0.216000	1.492834e+03
0.217000	1.499751e+03
0.218000	1.506666e+03
0.219000	1.513582e+03
0.220000	1.520497e+03
0.221000	1.527411e+03
0.222000	1.534326e+03
0.223000	1.541243e+03
0.224000	1.548161e+03
0.225000	1.555079e+03
0.226000	1.561997e+03
0.227000	1.568916e+03
0.228000	1.575833e+03
0.229000	1.582748e+03
0.230000	1.589664e+03
0.231000	1.596581e+03
0.232000	1.603498e+03
0.233000	1.610414e+03
0.234000	1.617331e+03
0.235000	1.624249e+03
0.236000	1.631166e+03
0.237000	1.638084e+03
0.238000	1.645002e+03
0.239000	1.651922e+03
0.240000	1.658840e+03
0.241000	1.665759e+03
0.242000	1.672678e+03
0.243000	1.679597e+03
0.244000	1.686516e+03
0.245000	1.693434e+03
0.246000	1.700354e+03
0.247000	1.707275e+03
0.248000	1.714195e+03
0.249000	1.721116e+03
0.250000	1.728036e+03
0.251000	1.734955e+03
0.252000	1.741876e+03
0.253000	1.748798e+03
0.254000	1.755719e+03
0.255000	1.762639e+03
0.256000	1.769561e+03
0.257000	1.776482e+03
0.258000	1.783403e+03
0.259000	1.790326e+03
0.260000	1.797249e+03
0.261000	1.804171e+03
0.262000	1.811092e+03
0.263000	1.818013e+03
0.264000	1.824932e+03
0.265000	1.831853e+03
0.266000	1.838775e+03
0.267000	1.845698e+03
0.268000	1.852623e+03
0.269000	1.859548e+03
0.270000	1.866475e+03
0.271000	1.873403e+03
0.272000	1.880331e+03
0.273000	1.887260e+03
0.274000	1.894189e+03
0.275000	1.901118e+03
0.276000	1.908050e+03
0.277000	1.914981e+03
0.278000	1.921916e+03
0.279000	1.928849e+03
0.280000	1.935783e+03
0.281000	1.942715e+03
0.282000	1.949647e+03
0.283000	1.956577e+03
0.284000	1.963506e+03
0.285000	1.970435e+03
0.286000	1.977363e+03
0.287000	1.984294e+03
0.288000	1.991225e+03
0.289000	1.998158e+03
0.290000	2.005090e+03
0.291000	2.012021e+03
0.292000	2.018952e+03
0.293000	2.025885e+03
0.294000	2.032819e+03
0.295000	2.039753e+03
0.296000	2.046687e+03
0.297000	2.053623e+03
0.298000	2.060559e+03
0.299000	2.067497e+03
0.300000	2.074433e+03
0.301000	2.081371e+03
0.302000	2.088306e+03
0.303000	2.095243e+03
0.304000	2.102178e+03
0.305000	2.109114e+03
0.306000	2.116048e+03
0.307000	2.122980e+03
0.308000	2.129913e+03
0.309000	2.136848e+03
0.310000	2.143781e+03
0.311000	2.150713e+03
0.312000	2.157644e+03
0.313000	2.164574e+03
0.314000	2.171504e+03
0.315000	2.178433e+03
0.316000	2.185362e+03
0.317000	2.192292e+03
0.318000	2.199221e+03
0.319000	2.206152e+03
0.320000	2.213082e+03
0.321000	2.220011e+03
0.322000	2.226939e+03
0.323000	2.233868e+03
0.324000	2.240797e+03
0.325000	2.247727e+03
0.326000	2.254655e+03
0.327000	2.261584e+03
0.328000	2.268511e+03
0.329000	2.275435e+03
0.330000	2.282362e+03
0.331000	2.289290e+03
0.332000	2.296217e+03
0.333000	2.303144e+03
0.334000	2.310071e+03
0.335000	2.316997e+03
0.336000	2.323922e+03
0.337000	2.330850e+03
0.338000	2.337778e+03
0.339000	2.344706e+03
0.340000	2.351634e+03
0.341000	2.358564e+03
0.342000	2.365492e+03
0.343000	2.372419e+03
0.344000	2.379344e+03
0.345000	2.386267e+03
0.346000	2.393193e+03
