Subject;Session;Block;AudioT1;Procedure[Trial];S1Audio.ACC;S1Audio.OnsetTime;S1Audio.RT;S1response.ACC;S2Visuel.ACC;S2Visuel.OnsetTime;S2Visuel.RT;SOAdur;StimulusVisuel
1;1;6;400.wav;EssaisDT;1;57702;980;1;1;57719;301;15;right
1;1;187;400.wav;EssaisDT;1;1042448;1192;1;1;1042465;356;15;right
1;1;237;400.wav;EssaisDT;1;1349269;992;1;1;1350769;362;1500;left
1;1;31;1800.wav;EssaisDT;1;169287;1041;1;1;169353;365;65;right
1;1;28;400.wav;EssaisDT;1;157520;1092;1;1;159020;393;1500;right
1;1;175;1800.wav;EssaisDT;1;988231;637;1;1;989731;394;1500;right
1;1;156;1800.wav;EssaisDT;1;859996;732;1;1;861496;398;1500;right
1;1;81;400.wav;EssaisDT;1;464774;1028;1;1;466274;402;1500;right
1;1;54;1800.wav;EssaisDT;1;313772;812;1;1;315272;410;1500;left
1;1;49;1800.wav;EssaisDT;1;289505;1004;1;1;291005;413;1500;right
1;1;267;1800.wav;EssaisDT;1;1537171;1128;1;1;1538671;416;1500;right
1;1;37;1800.wav;EssaisDT;1;236271;750;1;1;237771;417;1500;left
1;1;132;1800.wav;EssaisDT;1;746828;1058;1;1;748328;418;1500;right
1;1;117;1800.wav;EssaisDT;1;655593;1099;1;1;657093;421;1500;right
1;1;259;400.wav;EssaisDT;1;1502137;1242;1;1;1502204;422;65;right
1;1;125;400.wav;EssaisDT;1;684710;748;1;1;686210;423;1500;right
1;1;100;1800.wav;EssaisDT;1;583409;920;1;1;583475;435;65;left
1;1;120;1800.wav;EssaisDT;1;668110;1214;1;1;669610;435;1500;left
1;1;238;1800.wav;EssaisDT;1;1354669;996;1;1;1356169;440;1500;right
1;1;52;400.wav;EssaisDT;1;304405;874;1;1;305905;443;1500;left
1;1;189;400.wav;EssaisDT;1;1051882;992;1;1;1053382;443;1500;right
1;1;84;400.wav;EssaisDT;1;476974;885;1;1;477041;446;65;left
1;1;197;1800.wav;EssaisDT;1;1109632;756;1;1;1111132;449;1500;left
1;1;239;400.wav;EssaisDT;1;1360152;852;1;1;1361652;450;1500;right
1;1;209;1800.wav;EssaisDT;1;1159366;1059;1;1;1159383;451;15;right
1;1;218;1800.wav;EssaisDT;1;1208117;763;1;1;1209617;454;1500;left
1;1;140;400.wav;EssaisDT;1;781161;910;1;1;782661;462;1500;left
1;1;255;1800.wav;EssaisDT;1;1440137;607;1;1;1441637;465;1500;right
1;1;87;1800.wav;EssaisDT;1;488274;741;1;1;489774;466;1500;right
1;1;56;400.wav;EssaisDT;1;325255;1193;1;1;326755;469;1500;right
1;1;160;1800.wav;EssaisDT;1;882663;1252;1;1;884163;470;1500;left
1;1;176;1800.wav;EssaisDT;1;993647;739;1;1;995147;472;1500;left
1;1;94;1800.wav;EssaisDT;1;517875;929;1;1;517891;473;15;right
1;1;206;1800.wav;EssaisDT;1;1144466;936;1;1;1145966;473;1500;right
1;1;199;1800.wav;EssaisDT;1;1117182;1228;1;1;1117249;474;65;right
1;1;25;400.wav;EssaisDT;1;148586;949;1;1;148603;477;15;right
1;1;261;400.wav;EssaisDT;1;1511671;680;1;1;1511921;477;250;left
1;1;250;1800.wav;EssaisDT;1;1413120;1156;1;1;1414620;480;1500;left
1;1;112;400.wav;EssaisDT;1;636476;774;1;1;637976;495;1500;right
1;1;139;1800.wav;EssaisDT;1;776361;622;1;1;777861;498;1500;left
1;1;208;400.wav;EssaisDT;1;1153883;952;1;1;1155383;499;1500;right
1;1;193;400.wav;EssaisDT;1;1093282;1510;0;1;1093532;500;250;right
1;1;95;400.wav;EssaisDT;1;521425;822;1;1;521441;502;15;left
1;1;186;400.wav;EssaisDT;1;1036915;1061;1;1;1038415;504;1500;left
1;1;129;1800.wav;EssaisDT;1;736594;656;1;1;736611;508;15;left
1;1;148;1800.wav;EssaisDT;1;819745;685;1;1;819812;508;65;right
1;1;18;1800.wav;EssaisDT;1;117269;1009;1;1;118769;514;1500;left
1;1;41;1800.wav;EssaisDT;1;255088;687;0;1;255154;515;65;left
1;1;278;400.wav;EssaisDT;1;1588072;924;1;1;1589572;520;1500;left
1;1;43;1800.wav;EssaisDT;1;264188;652;1;1;264438;523;250;right
1;1;168;400.wav;EssaisDT;1;959614;740;1;1;961114;526;1500;left
1;1;40;400.wav;EssaisDT;1;251154;821;1;1;251404;528;250;left
1;1;210;400.wav;EssaisDT;1;1163333;797;1;1;1164833;529;1500;left
1;1;178;400.wav;EssaisDT;1;1004881;825;1;1;1004898;533;15;left
1;1;39;400.wav;EssaisDT;1;247654;755;1;1;247721;534;65;left
1;1;276;1800.wav;EssaisDT;1;1580138;980;1;1;1581638;540;1500;left
1;1;242;400.wav;EssaisDT;1;1372352;1028;1;1;1373852;542;1500;left
1;1;53;400.wav;EssaisDT;1;309905;1167;1;1;309922;547;15;right
1;1;75;400.wav;EssaisDT;1;436490;954;1;1;437990;549;1500;left
1;1;88;1800.wav;EssaisDT;1;493824;904;1;1;493841;550;15;left
1;1;154;400.wav;EssaisDT;1;849596;1305;0;1;849612;555;15;right
1;1;243;400.wav;EssaisDT;1;1377852;729;1;1;1379352;556;1500;right
1;1;265;400.wav;EssaisDT;1;1527154;760;1;1;1527221;559;65;left
1;1;285;400.wav;EssaisDT;1;1625906;814;1;1;1627406;566;1500;right
1;1;98;400.wav;EssaisDT;1;574725;1273;1;1;576225;569;1500;left
1;1;135;1800.wav;EssaisDT;1;764878;629;1;1;764894;574;15;right
1;1;80;1800.wav;EssaisDT;1;459090;783;1;1;459340;575;250;right
1;1;260;400.wav;EssaisDT;1;1506137;648;1;1;1506204;579;65;left
1;1;110;1800.wav;EssaisDT;1;629343;734;1;1;629409;589;65;right
1;1;118;400.wav;EssaisDT;1;661093;859;1;1;661160;591;65;left
