Title                                                           21.09.2015 09:29
________________________________________________________________________________

Title


Curve Name:
  |CJ Top2 sans CNT 25/800°C 5C/mn N2-CJ Blanc 25/800°C 5C/mn N2, 31.08.2015 15:12:28
  Performed 24.07.2015 04:45:28
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        32.3769             25         32.968
              3              3        32.4051             25        32.9655
              6              6        32.4332             25        32.9619
              9              9        32.4726             25        32.9582
             12             12        32.5066             25        32.9544
             15             15        32.5221             25        32.9504
             18             18        32.5581             25        32.9463
             21             21        32.5921             25        32.9426
             24             24        32.6264             25        32.9387
             27             27        32.6502             25        32.9343
             30             30        32.6818             25        32.9301
             33             33        32.6984             25        32.9266
             36             36        32.7229             25        32.9235
             39             39        32.7426             25        32.9201
             42             42        32.7793             25        32.9158
             45             45        32.7876             25        32.9114
             48             48        32.8162             25        32.9075
             51             51        32.8402             25        32.9041
             54             54        32.8649             25        32.9002
             57             57        32.8817             25        32.8957
             60             60        32.9082             25        32.8916
             63             63         32.925             25        32.8883
             66             66        32.9515             25        32.8853
             69             69        32.9615             25        32.8819
             72             72        32.9883             25        32.8777
             75             75        33.0015             25        32.8728
             78             78        33.0218             25        32.8685
             81             81        33.0396             25        32.8649
             84             84        33.0521             25         32.861
             87             87        33.0707             25        32.8566
             90             90        33.0925             25        32.8522
             93             93        33.0991             25        32.8488
             96             96        33.1252             25        32.8456
             99             99        33.1361             25        32.8419
            102            102        33.1431             25        32.8373
            105            105        33.1473             25        32.8332
            108            108        33.1675             25        32.8294
            111            111        33.1833             25        32.8256
            114            114        33.1914             25        32.8214
            117            117        33.2028             25        32.8172
            120            120         33.225             25        32.8132
            123            123        33.2326             25        32.8092
            126            126        33.2407             25         32.805
            129            129        33.2661             25        32.8009
            132            132        33.2691             25         32.797
            135            135        33.2694             25        32.7933
            138            138        33.2821             25        32.7893
            141            141        33.2927             25        32.7854
            144            144        33.2971             25        32.7816
            147            147        33.3052             25        32.7776
            150            150        33.3257             25         32.773
            153            153        33.3331             25        32.7688
            156            156        33.3467             25         32.765
            159            159        33.3521             25        32.7611
            162            162        33.3607             25        32.7566
            165            165        33.3707             25        32.7523
            168            168        33.3685             25        32.7486
            171            171        33.3796             25        32.7458
            174            174         33.389             25        32.7422
            177            177        33.3879             25        32.7376
            180            180        33.3926             25        32.7331
            183            183        33.4011             25         32.729
            186            186        33.4136             25        32.7253
            189            189        33.4336             25         32.721
            192            192        33.4271             25        32.7163
            195            195        33.4418             25        32.7119
            198            198        33.4486             25        32.7088
            201            201        33.4428             25        32.7057
            204            204        33.4649             25         32.702
            207            207        33.4651             25        32.6973
            210            210        33.4659             25        32.6927
            213            213        33.4781             25        32.6887
            216            216        33.4786             25        32.6849
            219            219        33.4879             25        32.6808
            222            222         33.483             25        32.6759
            225            225        33.5014             25        32.6718
            228            228        33.4968             25        32.6683
            231            231        33.5006             25        32.6651
            234            234        33.5097             25        32.6611
            237            237        33.5093             25        32.6566
            240            240        33.5165             25        32.6521
            243            243        33.5224             25        32.6482
            246            246        33.5277             25        32.6445
            249            249        33.5334             25        32.6404
            252            252        33.5349             25        32.6363
            255            255        33.5399             25        32.6321
            258            258        33.5437             25        32.6281
            261            261        33.5546             25        32.6239
            264            264        33.5409             25        32.6197
            267            267        33.5557             25        32.6156
            270            270        33.5637             25        32.6117
            273            273        33.5645             25         32.608
            276            276        33.5663             25        32.6041
            279            279         33.573             25        32.5998
            282            282        33.5783             25        32.5953
            285            285        33.5721             25        32.5909
            288            288        33.5761             25        32.5868
            291            291        33.5744             25        32.5832
            294            294        33.5865             25        32.5795
            297            297        33.5813             25        32.5753
            300            300        33.5907             25        32.5712
            303            303        33.5915             25        32.5672
            306            306        33.5962             25        32.5634
            309            309        33.6001             25        32.5595
            312            312        33.5991             25        32.5551
            315            315        33.5962             25        32.5508
            318            318        33.6169             25        32.5472
            321            321         33.606             25        32.5434
            324            324        33.6029             25         32.539
            327            327        33.6091             25        32.5341
            330            330        33.6146             25        32.5299
            333            333        33.6152             25        32.5265
            336            336        33.6201             25        32.5231
            339            339          33.62             25        32.5191
            342            342        33.6159             25        32.5148
            345            345        33.6311             25        32.5105
            348            348        33.6322             25        32.5065
            351            351         33.632             25        32.5026
            354            354        33.6335             25        32.4984
            357            357        33.6374             25        32.4938
            360            360        33.6336             25        32.4896
            363            363        33.6304             25        32.4863
            366            366        33.6462             25        32.4827
            369            369        33.6493             25        32.4785
            372            372        33.6405             25        32.4742
            375            375        33.6395             25        32.4701
            378            378        33.6361             25        32.4665
            381            381        33.6358             25        32.4626
            384            384         33.645             25        32.4584
            387            387        33.6489             25        32.4541
            390            390        33.6514             25        32.4501
            393            393        33.6529             25        32.4463
            396            396         33.641             25        32.4421
            399            399        33.6444             25        32.4372
            402            402        33.6625             25        32.4328
            405            405        33.6421             25        32.4296
            408            408        33.6473             25        32.4265
            411            411        33.6585             25        32.4227
            414            414        33.6678             25         32.418
            417            417        33.6567             25        32.4138
            420            420        33.6581             25        32.4098
            423            423        33.6501             25        32.4056
            426            426        33.6649             25        32.4008
            429            429        33.6584             25        32.3965
            432            432        33.6594             25        32.3929
            435            435        33.6633             25        32.3898
            438            438        33.6607             25        32.3857
            441            441        33.6615             25        32.3812
            444            444         33.668             25         32.377
            447            447        33.6618             25        32.3736
            450            450        33.6753             25        32.3697
            453            453        33.6673             25        32.3648
            456            456        33.6623             25        32.3603
            459            459        33.6662             25        32.3568
            462            462        33.6724             25        32.3536
            465            465        33.6795             25        32.3496
            468            468        33.6688             25        32.3455
            471            471        33.6802             25        32.3416
            474            474        33.6813             25        32.3381
            477            477        33.6715             25        32.3338
            480            480        33.6839             25         32.329
            483            483        33.6774             25        32.3241
            486            486        33.6784             25        32.3199
            489            489        33.6823             25        32.3161
            492            492        33.6785             25        32.3124
            495            495        33.6785             25        32.3086
            498            498        33.6852             25        32.3048
            501            501        33.6858             25        32.3012
            504            504        33.6762             25        32.2972
            507            507        33.6831             25        32.2927
            510            510         33.684             25        32.2885
            513            513         33.684             25        32.2844
            516            516        33.6803             25        32.2803
            519            519        33.6935             25        32.2761
            522            522        33.6883             25         32.272
            525            525        33.6848             25        32.2683
            528            528        33.6818             25        32.2645
            531            531        33.6748             25        32.2607
            534            534        33.6782             25        32.2567
            537            537        33.6823             25        32.2526
            540            540        33.6788             25        32.2488
            543            543        33.6772             25        32.2451
            546            546        33.6796             25         32.241
            549            549        33.6796             25        32.2367
            552            552        33.6749             25        32.2327
            555            555        33.6783             25        32.2285
            558            558        33.6691             25         32.224
            561            561        33.6728             25        32.2198
            564            564        33.6613             25        32.2159
            567            567         33.679             25        32.2127
            570            570        33.6596             25        32.2092
            573            573        33.6818             25        32.2051
            576            576        33.6774             25        32.2007
            579            579        33.6751             25        32.1967
            582            582        33.6867             25         32.193
            585            585        33.6912             25        32.1889
            588            588        33.6728             25        32.1844
            591            591        33.6837             25        32.1803
            594            594        33.6787             25        32.1773
            597            597        33.6909             25        32.1736
            600            600        33.6837             25        32.1691
            603            603        33.6977             25        32.1645
            606            606        33.6849             25        32.1611
            609            609        33.6943             25        32.1578
            612            612         33.692             25        32.1535
            615            615        33.6811             25        32.1485
            618            618        33.6974             25        32.1445
            621            621        33.6943             25         32.141
            624            624        33.6904             25        32.1371
            627            627        33.6814             25        32.1328
            630            630        33.7005             25        32.1288
            633            633         33.694             25        32.1252
            636            636        33.6697             25        32.1212
            639            639        33.6701             25        32.1165
            642            642        33.6745             25        32.1121
            645            645        33.6857             25        32.1087
            648            648        33.6876             25        32.1051
            651            651        33.6863             25        32.1006
            654            654        33.6953             25        32.0959
            657            657        33.6803             25         32.092
            660            660        33.6855             25        32.0885
            663            663        33.6761             25        32.0849
            666            666        33.6808             25         32.081
            669            669         33.684             25        32.0774
            672            672         33.686             25        32.0736
            675            675        33.6769             25        32.0696
            678            678          33.68             25        32.0652
            681            681        33.6801             25         32.061
            684            684        33.6889             25        32.0569
            687            687        33.6834             25        32.0531
            690            690        33.6796             25        32.0492
            693            693        33.6876             25        32.0453
            696            696        33.6801             25        32.0415
            699            699        33.6865             25        32.0374
            702            702        33.6804             25        32.0331
            705            705        33.6871             25        32.0296
            708            708        33.6855             25         32.026
            711            711        33.6791             25        32.0215
            714            714        33.6894             25        32.0167
            717            717        33.6949             25         32.013
            720            720        33.6816             25        32.0096
            723            723        33.6811             25         32.006
            726            726        33.6904             25        32.0018
            729            729        33.6915             25        31.9975
            732            732        33.6812             25        31.9939
            735            735        33.6852             25        31.9902
            738            738        33.6941             25        31.9857
            741            741        33.6819             25        31.9813
            744            744        33.6852             25        31.9775
            747            747        33.6806             25        31.9749
            750            750        33.6808             25        31.9714
            753            753        33.6827             25        31.9668
            756            756         33.692             25        31.9623
            759            759        33.6834             25        31.9583
            762            762        33.6842             25        31.9547
            765            765        33.6869             25        31.9503
            768            768        33.6884             25        31.9458
            771            771        33.6962             25        31.9416
            774            774        33.6939             25        31.9383
            777            777        33.6879             25        31.9349
            780            780        33.6801             25        31.9308
            783            783        33.6845             25        31.9263
            786            786        33.6923             25        31.9228
            789            789        33.6934             25        31.9194
            792            792        33.6941             25        31.9156
            795            795        33.6942             25        31.9113
            798            798        33.6955             25         31.907
            801            801         33.698             25        31.9032
            804            804        33.6906             25        31.8992
