Title                                                           21.09.2015 09:32
________________________________________________________________________________

Title


Curve Name:
  |CJ Top2 avec CNT lav EtOH 25/800˚C 5˚C/min Air-CJ Blanc 25/800˚C 5˚C/min Air, 31.08.2015 14:40:49
  Performed 27.07.2015 21:28:55
Curve Values:
          Index              t           Tset          Tread           Mass
                           [s]           [˚C]           [˚C]           [mg]
              0              0        32.3555             25        34.9786
              3              3        32.3817             25        34.9755
              6              6        32.4069             25        34.9711
              9              9        32.4369             25        34.9671
             12             12        32.4609             25        34.9634
             15             15        32.4911             25        34.9601
             18             18        32.5177             25        34.9567
             21             21        32.5417             25        34.9526
             24             24        32.5571             25        34.9479
             27             27        32.5905             25        34.9432
             30             30        32.6159             25        34.9393
             33             33        32.6382             25        34.9353
             36             36        32.6597             25        34.9313
             39             39        32.6875             25        34.9272
             42             42        32.7044             25        34.9229
             45             45         32.715             25        34.9187
             48             48         32.752             25        34.9145
             51             51        32.7671             25        34.9106
             54             54        32.7936             25        34.9065
             57             57        32.8153             25        34.9019
             60             60        32.8298             25        34.8972
             63             63         32.861             25        34.8927
             66             66        32.8773             25        34.8887
             69             69        32.8872             25        34.8848
             72             72        32.9133             25        34.8808
             75             75        32.9262             25        34.8764
             78             78        32.9382             25        34.8714
             81             81        32.9675             25        34.8664
             84             84        32.9776             25        34.8618
             87             87         32.997             25        34.8579
             90             90        33.0198             25        34.8541
             93             93        33.0276             25        34.8501
             96             96        33.0473             25        34.8457
             99             99        33.0655             25        34.8416
            102            102        33.0748             25        34.8374
            105            105        33.0954             25        34.8329
            108            108        33.1065             25        34.8281
            111            111        33.1234             25        34.8236
            114            114        33.1457             25        34.8198
            117            117        33.1537             25        34.8159
            120            120        33.1747             25        34.8115
            123            123        33.1887             25        34.8065
            126            126        33.2069             25        34.8017
            129            129        33.2043             25        34.7972
            132            132        33.2276             25        34.7924
            135            135        33.2447             25        34.7875
            138            138        33.2372             25        34.7827
            141            141        33.2635             25        34.7784
            144            144        33.2725             25        34.7744
            147            147        33.2603             25        34.7701
            150            150        33.2871             25        34.7654
            153            153        33.2997             25        34.7605
            156            156         33.305             25        34.7558
            159            159        33.3189             25        34.7514
            162            162        33.3434             25         34.747
            165            165         33.335             25        34.7421
            168            168        33.3602             25        34.7374
            171            171        33.3544             25        34.7332
            174            174        33.3685             25        34.7293
            177            177        33.3767             25        34.7249
            180            180        33.3822             25        34.7201
            183            183        33.3947             25        34.7155
            186            186        33.4095             25        34.7116
            189            189          33.41             25        34.7074
            192            192        33.4138             25        34.7027
            195            195        33.4227             25        34.6975
            198            198        33.4287             25        34.6928
            201            201        33.4531             25        34.6885
            204            204        33.4408             25        34.6841
            207            207        33.4553             25        34.6794
            210            210         33.465             25        34.6746
