w Int P
1450 0.0273576764441326 8.96
1450.3519 0.0296993216977112 8.96
1450.7039 0.0266767561825288 8.96
1451.0557 0.0274714570427665 8.96
1451.4076 0.0288837127793972 8.96
1451.7595 0.0362211587422577 8.96
1452.1115 0.0360462913474367 8.96
1452.4634 0.0292936183495383 8.96
1452.8153 0.0321967010684297 8.96
1453.1671 0.0251727843751467 8.96
1453.519 0.0240025857840448 8.96
1453.871 0.0239819181800864 8.96
1454.2229 0.0203185653406265 8.96
1454.5748 0.0186759660090761 8.96
1454.9266 0.0229268055099736 8.96
1455.2786 0.0296670092443204 8.96
1455.6305 0.0324815704971719 8.96
1455.9824 0.031769700355513 8.96
1456.3344 0.0297049666443879 8.96
1456.6862 0.0254531653270182 8.96
1457.0381 0.0244221095189089 8.96
1457.39 0.0249519902437734 8.96
1457.7419 0.0236564120053895 8.96
1458.0939 0.0229806786826185 8.96
1458.4458 0.0270746619471584 8.96
1458.7976 0.0316669348455262 8.96
1459.1495 0.0308330285138463 8.96
1459.5015 0.0301197041972828 8.96
1459.8534 0.0303127316031165 8.96
1460.2053 0.0259671188291092 8.96
1460.5571 0.0247649398403033 8.96
1460.9091 0.0309008136747512 8.96
1461.261 0.0278227948598622 8.96
1461.6129 0.0291887803540577 8.96
1461.9648 0.026091216054428 8.96
1462.3168 0.0264570498197849 8.96
1462.6686 0.0182301526239691 8.96
1463.0205 0.0252833589188729 8.96
1463.3724 0.0205765497089287 8.96
1463.7244 0.0262431487064631 8.96
1464.0763 0.0309476564269914 8.96
1464.4281 0.0286268734307048 8.96
1464.78 0.0286290833185519 8.96
1465.132 0.0268597761169721 8.96
1465.4839 0.0248993193417189 8.96
1465.8358 0.0308058113977194 8.96
1466.1876 0.0286340298032666 8.96
1466.5396 0.0289934056580237 8.96
1466.8915 0.0258633342516696 8.96
1467.2434 0.0262859151888921 8.96
1467.5953 0.0263807800635708 8.96
1467.9473 0.0231556491292044 8.96
