w Int P
1450 0.00279090547574042 2.57
1450.3519 0.0032417278605874 2.57
1450.7039 0.00186915618591112 2.57
1451.0557 0.00214692218354747 2.57
1451.4076 0.00359243431738716 2.57
1451.7595 0.00315513522941755 2.57
1452.1115 0.00123470106159427 2.57
1452.4634 0.00097399813104715 2.57
1452.8153 0.0057372916349777 2.57
1453.1671 0.00435482807817215 2.57
1453.519 2.52537975147406e-05 2.57
1453.871 0.00277761701798714 2.57
1454.2229 0.00515634832814362 2.57
1454.5748 0.00382448114701202 2.57
1454.9266 0.00172808087795282 2.57
1455.2786 0.000363069877515475 2.57
1455.6305 0.00289161422938137 2.57
1455.9824 0.00510966689250171 2.57
1456.3344 0.00347628918717505 2.57
1456.6862 0.00466110411825114 2.57
1457.0381 0.00424606892480179 2.57
1457.39 0.00364985534711846 2.57
1457.7419 0.00472091649759968 2.57
1458.0939 0.00416566229982742 2.57
1458.4458 0.00311372621850059 2.57
1458.7976 0.00343969151441015 2.57
1459.1495 0.00356858955461695 2.57
1459.5015 0.00331276383173229 2.57
1459.8534 0.00377514488371122 2.57
1460.2053 0.00559773991743423 2.57
1460.5571 0.00706754644505002 2.57
1460.9091 0.00462507349605416 2.57
1461.261 0.00421447447093667 2.57
1461.6129 0.00227220599235671 2.57
1461.9648 0.00321840146222524 2.57
1462.3168 0.00285420034746568 2.57
1462.6686 0 2.57
1463.0205 0.00709103035745883 2.57
1463.3724 0.00422867078237696 2.57
1463.7244 0.00468403816344258 2.57
1464.0763 0.00467576724404786 2.57
1464.4281 0.00435652350209239 2.57
1464.78 0.00630060482415464 2.57
1465.132 0.00662500070738126 2.57
1465.4839 0.0054385590857871 2.57
1465.8358 0.00683312831305022 2.57
1466.1876 0.00750278066706271 2.57
1466.5396 0.00677470205731215 2.57
1466.8915 0.00603432589635631 2.57
1467.2434 0.0060009987879781 2.57
1467.5953 0.00644894868939264 2.57
1467.9473 0.00571218389594258 2.57
1468.2991 0.00417187694494049 2.57
1468.651 0.00558673970919493 2.57
1469.0029 0.00718128304229434 2.57
1469.3549 0.00575708112701976 2.57
1469.7068 0.00619293967743552 2.57
1470.0586 0.00756222074048281 2.57
1470.4105 0.00899697609688257 2.57
1470.7625 0.00920415575437991 2.57
1471.1144 0.0076230927597815 2.57
1471.4663 0.00840337438848178 2.57
1471.8182 0.00695933715889703 2.57
1472.17 0.00863046668536673 2.57
1472.522 0.00828439400543008 2.57
1472.8739 0.00481104317119788 2.57
1473.2258 0.00646965176290523 2.57
1473.5778 0.00779382653077707 2.57
1473.9296 0.00668913756328313 2.57
1474.2815 0.0080437154060491 2.57
1474.6334 0.00690488598491792 2.57
1474.9854 0.00807700528383447 2.57
1475.3373 0.00955019979539899 2.57
1475.6891 0.00795685643294583 2.57
1476.041 0.00686365167139816 2.57
1476.3929 0.00858707872524558 2.57
1476.7449 0.00736348383588562 2.57
1477.0968 0.00836869838708595 2.57
1477.4487 0.00737883429570407 2.57
1477.8005 0.0058003631231459 2.57
1478.1525 0.00488246576772999 2.57
1478.5044 0.00426382791758801 2.57
1478.8563 0.00523580986883811 2.57
1479.2083 0.00733357907815724 2.57
1479.5601 0.00891353088275385 2.57
1479.912 0.00893847537995882 2.57
1480.2639 0.00912842872853676 2.57
1480.6158 0.00984558159123371 2.57
1480.9678 0.00843607144067342 2.57
1481.3197 0.00847328485016611 2.57
1481.6715 0.00708076903329288 2.57
1482.0234 0.00832021842742054 2.57
1482.3754 0.00852885294193052 2.57
1482.7273 0.00911338756902809 2.57
1483.0792 0.00851625468209072 2.57
1483.431 0.0116798212088414 2.57
1483.783 0.00934752790352745 2.57
1484.1349 0.00971377383700162 2.57
1484.4868 0.00660184041474101 2.57
1484.8387 0.00885806875498446 2.57
1485.1906 0.0107764065540415 2.57
1485.5425 0.0111511267432251 2.57
1485.8944 0.00868284726560541 2.57
1486.2463 0.0104878751872899 2.57
1486.5983 0.0130666693839272 2.57
1486.9502 0.012917666823585 2.57
1487.302 0.00970066580442905 2.57
1487.6539 0.0100814316691121 2.57
1488.0059 0.00864420191023413 2.57
1488.3578 0.0093980440902322 2.57
1488.7097 0.0105637139049116 2.57
1489.0615 0.00929622414658946 2.57
1489.4135 0.00934599572143736 2.57
1489.7654 0.0108355888772034 2.57
1490.1173 0.0130294531105427 2.57
1490.4692 0.0139950113525815 2.57
