w   Int   P
100.00000   430.79117  0
100.33060   439.96957  0
100.66119   444.41019  0
100.99178   460.134  0
101.32238   474.05646  0
101.65297   478.61288  0
101.98357   463.58371  0
102.31416   468.34119  0
102.64475   482.70731  0
102.97535   499.31183  0
103.30594   476.40894  0
103.63654   469.19968  0
103.96713   470.44647  0
104.29772   471.7233  0
104.62832   484.74548  0
104.95891   485.02725  0
105.28951   480.72018  0
105.6201    488.56552  0
105.95069   469.22345  0
106.28129   464.88593  0
106.61189   470.92853  0
106.94247   462.58209  0
107.27307   465.88351  0
107.60367   465.41144  0
107.93426   459.3475  0
108.26485   452.92767  0
108.59544   454.14139  0
108.92604   454.71768  0
109.25664   450.89066  0
109.58723   434.27539  0
109.91782   438.7413  0
110.24842   442.00653  0
110.57901   435.12482  0
110.90961   431.24771  0
111.2402    424.40662  0
111.57079   419.9924  0
111.90139   421.4314  0
112.23198   422.67175  0
112.56258   421.00055  0
112.89317   421.15576  0
113.22376   427.62668  0
113.55436   416.92044  0
113.88496   410.51346  0
114.21555   406.01953  0
114.54614   399.99823  0
114.87673   403.49097  0
115.20733   400.34174  0
115.53793   395.582  0
115.86852   400.32712  0
116.19911   401.23199  0
116.52971   397.66702  0
116.8603    391.41479  0
117.1909    387.05682  0
117.52149   383.66879  0
117.85208   386.50357  0
118.18268   392.66507  0
118.51327   387.7063  0
118.84386   391.51746  0
119.17446   391.62439  0
119.50505   385.42883  0
119.83565   377.18777  0
120.16624   369.4061  0
120.49683   365.21298  0
120.82743   366.44296  0
121.15803   377.07617  0
121.48862   375.64844  0
121.81921   368.81717  0
122.1498    360.59018  0
122.4804    362.81744  0
122.811 369.75928  0
123.14159   372.21469  0
123.47218   363.92514  0
123.80278   360.75116  0
124.13337   356.23206  0
124.46397   350.48093  0
124.79456   343.5264  0
125.12515   341.4628  0
125.45575   344.74457  0
125.78634   348.11749  0
126.11694   344.93994  0
126.44753   344.8046  0
126.77812   337.94882  0
127.10872   332.20139  0
127.43932   341.39713  0
127.76991   336.1344  0
128.10049   333.99631  0
128.43109   335.68173  0
128.76169   339.58939  0
129.09229   334.08926  0
129.42288   327.14819  0
129.75346   322.99454  0
130.08406   330.73926  0
130.41466   332.59436  0
130.74525   334.99835  0
131.07585   335.65491  0
131.40645   321.30362  0
131.73703   326.4353  0
132.06763   328.60266  0
132.39822   325.39001  0
132.72882   334.59131  0
133.05942   326.36737  0
133.39  320.56506  0
133.7206    321.65015  0
134.05119   314.19693  0
134.38179   308.26062  0
134.71239   306.49576  0
135.04298   309.51035  0
135.37357   310.21008  0
135.70416   310.78922  0
136.03476   311.21439  0
136.36536   310.85242  0
136.69595   300.94473  0
137.02654   302.07043  0
137.35713   305.50143  0
137.68773   305.26675  0
138.01833   299.81738  0
138.34892   303.45303  0
138.67952   306.89493  0
139.0101    302.53116  0
139.3407    308.57104  0
139.6713    302.93967  0
140.00189   295.83041  0
140.33249   297.77875  0
140.66307   296.62628  0
140.99367   294.57001  0
141.32426   291.74826  0
141.65486   288.27109  0
141.98546   290.81311  0
142.31606   292.76419  0
142.64664   295.34814  0
142.97723   300.87  0
143.30783   295.33118  0
143.63843   291.47476  0
143.96902   290.18265  0
144.29961   291.63004  0
144.6302    288.83966  0
144.9608    289.82507  0
145.2914    292.44937  0
145.62199   290.36682  0
145.95259   276.84521  0
146.28317   278.28394  0
146.61377   290.33493  0
146.94437   293.98026  0
147.27496   289.02066  0
147.60556   288.18964  0
147.93614   289.14755  0
148.26674   278.7305  0
