year city pop
1962 Angers 115273
1968 Angers 128557
1975 Angers 137591
1982 Angers 136038
1990 Angers 141404
1999 Angers 151279
2007 Angers 151108
2012 Angers 149017
1962 Bordeaux 278403
1968 Bordeaux 266662
1975 Bordeaux 223131
1982 Bordeaux 208159
1990 Bordeaux 210336
1999 Bordeaux 215363
2007 Bordeaux 235178
2012 Bordeaux 241287
1962 Brest 136104
1968 Brest 154023
1975 Brest 166826
1982 Brest 156060
1990 Brest 147956
1999 Brest 149634
2007 Brest 142722
2012 Brest 139676
1962 Dijon 135694
1968 Dijon 145357
1975 Dijon 151705
1982 Dijon 140942
1990 Dijon 146703
1999 Dijon 149867
2007 Dijon 151543
2012 Dijon 152071
1962 Grenoble 156707
1968 Grenoble 161616
1975 Grenoble 166037
1982 Grenoble 156637
1990 Grenoble 150758
1999 Grenoble 153317
2007 Grenoble 156793
2012 Grenoble 158346
1962 "Le Havre" 187845
1968 "Le Havre" 207150
1975 "Le Havre" 217882
1982 "Le Havre" 199388
1990 "Le Havre" 195854
1999 "Le Havre" 190905
2007 "Le Havre" 179751
2012 "Le Havre" 173142
1962 "Le Mans" 132181
1968 "Le Mans" 143246
1975 "Le Mans" 152285
1982 "Le Mans" 147697
1990 "Le Mans" 145502
1999 "Le Mans" 146105
2007 "Le Mans" 144164
2012 "Le Mans" 143599
1962 Lille 239955
1968 Lille 238554
1975 Lille 219204
1982 Lille 196705
1990 Lille 198691
1999 Lille 212597
2007 Lille 225789
2012 Lille 228652
1962 Lyon 535746
1968 Lyon 527800
1975 Lyon 456716
1982 Lyon 413095
1990 Lyon 415487
1999 Lyon 445452
2007 Lyon 472330
2012 Lyon 496343
1962 Marseille 778071
1968 Marseille 889029
1975 Marseille 908600
1982 Marseille 874436
1990 Marseille 800550
1999 Marseille 798430
2007 Marseille 852395
2012 Marseille 852516
1962 Montpellier 118864
1968 Montpellier 161910
1975 Montpellier 191354
1982 Montpellier 197231
1990 Montpellier 207996
1999 Montpellier 225392
2007 Montpellier 253712
2012 Montpellier 268456
1962 Nantes 240048
1968 Nantes 260244
1975 Nantes 256693
1982 Nantes 240539
1990 Nantes 244995
1999 Nantes 270251
2007 Nantes 283025
2012 Nantes 291604
1962 Nice 292958
1968 Nice 322442
1975 Nice 344481
1982 Nice 337085
1990 Nice 342439
1999 Nice 342738
2007 Nice 348721
2012 Nice 343629
1962 Paris 2790091
1968 Paris 2590771
1975 Paris 2299830
1982 Paris 2176243
1990 Paris 2152423
1999 Paris 2125246
2007 Paris 2193030
2012 Paris 2240621
1962 Reims 134856
1968 Reims 154534
1975 Reims 178381
1982 Reims 177234
1990 Reims 180620
1999 Reims 187206
2007 Reims 183500
2012 Reims 181893
1962 Rennes 151948
1968 Rennes 180943
1975 Rennes 198305
1982 Rennes 194656
1990 Rennes 197536
1999 Rennes 206229
2007 Rennes 207922
2012 Rennes 209860
1962 Saint-Étienne 210311
1968 Saint-Étienne 223223
1975 Saint-Étienne 220181
1982 Saint-Étienne 204955
1990 Saint-Étienne 199396
1999 Saint-Étienne 180210
2007 Saint-Étienne 175318
2012 Saint-Étienne 171483
1962 Strasbourg 228971
1968 Strasbourg 249396
1975 Strasbourg 253384
1982 Strasbourg 248712
1990 Strasbourg 252338
1999 Strasbourg 264115
2007 Strasbourg 272123
2012 Strasbourg 274394
1962 Toulon 161797
1968 Toulon 174746
1975 Toulon 181801
1982 Toulon 179423
1990 Toulon 167619
1999 Toulon 160639
2007 Toulon 166537
2012 Toulon 164899
1962 Toulouse 323724
1968 Toulouse 370796
1975 Toulouse 373796
1982 Toulouse 347995
1990 Toulouse 358688
1999 Toulouse 390350
2007 Toulouse 439453
2012 Toulouse 453317
